record_type,name,numerator,denominator,fraction
event,Corridor,152574,212588,0.7176980826763505
event,Junction,29824,212588,0.14029013867198525
event,Terminal,8394,212588,0.0394848251077201
event,Turn,2313,212588,0.010880200199446818
event,Geometry transition,19483,212588,0.09164675334449733
supervision,geometry_width_height,210803,212588,0.9916034771482868
supervision,place_association,60014,212588,0.2823019173236495
supervision,exit_los_visibility,448279,448338,0.9998684028567733
supervision,exit_width,438968,448279,0.9792294530861361
storage,duplicated_five_frame_raw,61225344000,61225344000,1.0
storage,deduplicated_raw_arrays,16523011520,61225344000,0.26987208957127296
storage,deduplicated_zarr_shards,7988637782,61225344000,0.13047926332598475
