panel,series,category,value,numerator,denominator
delta_mae,normalized_mae,Frozen baseline,0.5871666432429492,,
delta_mae,normalized_mae,Seed 0,0.38247793329431695,,
delta_mae,normalized_mae,Seed 1,0.38596320911213894,,
delta_mae,normalized_mae,Seed 2,0.3837798859868338,,
delta_mae,normalized_mae,Ensemble,0.3551742694560356,,
delta_improvement,percent,Frozen baseline,0.0,,
delta_improvement,percent,Seed 0,43.20521193984017,,
delta_improvement,percent,Seed 1,40.69025942255947,,
delta_improvement,percent,Seed 2,40.119736894813165,,
delta_improvement,percent,Ensemble,39.510482493625446,,
event_macro_f1,macro_f1,Frozen baseline,0.6879041031973032,,
event_macro_f1,macro_f1,Seed 0,0.6697614490966338,,
event_macro_f1,macro_f1,Seed 1,0.6600941976180575,,
event_macro_f1,macro_f1,Seed 2,0.6601005527827952,,
event_macro_f1,macro_f1,Ensemble,0.6836686238553416,,
identity_coverage,ensemble,junction,96.57534246575342,141,146
identity_coverage,ensemble,terminal,98.4375,126,128
identity_coverage,ensemble,turn,24.210526315789473,23,95
identity_coverage,ensemble,geometry_transition,0.0,0,17
