section,series,category,count,total,fraction
identity_composition,Teacher,junction,146,1113,0.13117699910152741
identity_composition,Teacher,terminal,128,1113,0.11500449236298294
identity_composition,Teacher,turn,95,1113,0.0853548966756514
identity_composition,Teacher,geometry_transition,744,1113,0.6684636118598383
endpoint_distance,geometry_transition,0–5 m,62,744,0.08333333333333333
endpoint_distance,geometry_transition,5–10 m,612,744,0.8225806451612904
endpoint_distance,geometry_transition,10–12 m,61,744,0.08198924731182795
endpoint_distance,geometry_transition,12–15 m,9,744,0.012096774193548387
event_span,geometry_transition,≤1 m,263,744,0.353494623655914
event_span,geometry_transition,1–2 m,148,744,0.1989247311827957
event_span,geometry_transition,2–3 m,111,744,0.14919354838709678
event_span,geometry_transition,3–5 m,137,744,0.18413978494623656
event_span,geometry_transition,>5 m,85,744,0.11424731182795698
identity_coverage,Frozen event head,junction,,,0.9657534246575342
identity_coverage,Frozen event head,terminal,,,0.9921875
identity_coverage,Frozen event head,turn,,,0.05263157894736842
identity_coverage,Frozen event head,geometry_transition,,,0.0013440860215053765
identity_coverage,292D residual,junction,,,0.9315068493150684
identity_coverage,292D residual,terminal,,,0.953125
identity_coverage,292D residual,turn,,,0.11578947368421053
identity_coverage,292D residual,geometry_transition,,,0.0
identity_coverage,Directional head,junction,,,0.9726027397260274
identity_coverage,Directional head,terminal,,,0.984375
identity_coverage,Directional head,turn,,,0.18947368421052632
identity_coverage,Directional head,geometry_transition,,,0.002688172043010753
