threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
0.0,old,before,12,153,0,347,512,0.07272727272727272,1.0,0.13559322033898305
0.0,old,after,12,141,0,280,433,0.0784313725490196,1.0,0.14545454545454545
0.0,fixed,before,12,169,0,331,512,0.06629834254143646,1.0,0.12435233160621761
0.0,fixed,after,12,156,0,265,433,0.07142857142857142,1.0,0.13333333333333333
9.549694189408721e-20,old,before,12,153,0,347,512,0.07272727272727272,1.0,0.13559322033898305
9.549694189408721e-20,old,after,12,141,0,280,433,0.0784313725490196,1.0,0.14545454545454545
9.549694189408721e-20,fixed,before,12,169,0,331,512,0.06629834254143646,1.0,0.12435233160621761
9.549694189408721e-20,fixed,after,12,156,0,265,433,0.07142857142857142,1.0,0.13333333333333333
9.760247198220412e-20,old,before,12,153,0,346,511,0.07272727272727272,1.0,0.13559322033898305
9.760247198220412e-20,old,after,12,141,0,280,433,0.0784313725490196,1.0,0.14545454545454545
9.760247198220412e-20,fixed,before,12,169,0,330,511,0.06629834254143646,1.0,0.12435233160621761
9.760247198220412e-20,fixed,after,12,156,0,265,433,0.07142857142857142,1.0,0.13333333333333333
1.685847079641062e-19,old,before,12,153,0,345,510,0.07272727272727272,1.0,0.13559322033898305
1.685847079641062e-19,old,after,12,141,0,279,432,0.0784313725490196,1.0,0.14545454545454545
1.685847079641062e-19,fixed,before,12,169,0,329,510,0.06629834254143646,1.0,0.12435233160621761
1.685847079641062e-19,fixed,after,12,156,0,264,432,0.07142857142857142,1.0,0.13333333333333333
4.338940747970873e-19,old,before,12,153,0,344,509,0.07272727272727272,1.0,0.13559322033898305
4.338940747970873e-19,old,after,12,141,0,278,431,0.0784313725490196,1.0,0.14545454545454545
4.338940747970873e-19,fixed,before,12,169,0,328,509,0.06629834254143646,1.0,0.12435233160621761
4.338940747970873e-19,fixed,after,12,156,0,263,431,0.07142857142857142,1.0,0.13333333333333333
5.457135907729244e-19,old,before,12,153,0,343,508,0.07272727272727272,1.0,0.13559322033898305
5.457135907729244e-19,old,after,12,141,0,277,430,0.0784313725490196,1.0,0.14545454545454545
5.457135907729244e-19,fixed,before,12,169,0,327,508,0.06629834254143646,1.0,0.12435233160621761
5.457135907729244e-19,fixed,after,12,156,0,262,430,0.07142857142857142,1.0,0.13333333333333333
7.326869631937849e-19,old,before,12,153,0,342,507,0.07272727272727272,1.0,0.13559322033898305
7.326869631937849e-19,old,after,12,141,0,277,430,0.0784313725490196,1.0,0.14545454545454545
7.326869631937849e-19,fixed,before,12,169,0,326,507,0.06629834254143646,1.0,0.12435233160621761
7.326869631937849e-19,fixed,after,12,156,0,262,430,0.07142857142857142,1.0,0.13333333333333333
1.3284060518385892e-18,old,before,12,153,0,341,506,0.07272727272727272,1.0,0.13559322033898305
1.3284060518385892e-18,old,after,12,141,0,276,429,0.0784313725490196,1.0,0.14545454545454545
1.3284060518385892e-18,fixed,before,12,169,0,325,506,0.06629834254143646,1.0,0.12435233160621761
1.3284060518385892e-18,fixed,after,12,156,0,261,429,0.07142857142857142,1.0,0.13333333333333333
1.7114819755107515e-18,old,before,12,153,0,340,505,0.07272727272727272,1.0,0.13559322033898305
1.7114819755107515e-18,old,after,12,141,0,275,428,0.0784313725490196,1.0,0.14545454545454545
1.7114819755107515e-18,fixed,before,12,169,0,324,505,0.06629834254143646,1.0,0.12435233160621761
1.7114819755107515e-18,fixed,after,12,156,0,260,428,0.07142857142857142,1.0,0.13333333333333333
1.9474141521358826e-18,old,before,12,153,0,339,504,0.07272727272727272,1.0,0.13559322033898305
1.9474141521358826e-18,old,after,12,141,0,274,427,0.0784313725490196,1.0,0.14545454545454545
1.9474141521358826e-18,fixed,before,12,169,0,323,504,0.06629834254143646,1.0,0.12435233160621761
1.9474141521358826e-18,fixed,after,12,156,0,259,427,0.07142857142857142,1.0,0.13333333333333333
2.170103580744346e-18,old,before,12,153,0,338,503,0.07272727272727272,1.0,0.13559322033898305
2.170103580744346e-18,old,after,12,141,0,274,427,0.0784313725490196,1.0,0.14545454545454545
2.170103580744346e-18,fixed,before,12,169,0,322,503,0.06629834254143646,1.0,0.12435233160621761
