method,step,region,stage,tp,fp,fn,ignored,output_count,precision,recall,f1
section17_final,1000,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
section17_final,1000,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
section17_final,1000,fixed,before,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
section17_final,1000,fixed,after,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
localization_quality,0,old,before,0,0,12,0,0,0.0,0.0,0.0
localization_quality,0,old,after,0,0,12,0,0,0.0,0.0,0.0
localization_quality,0,fixed,before,0,0,12,0,0,0.0,0.0,0.0
localization_quality,0,fixed,after,0,0,12,0,0,0.0,0.0,0.0
localization_quality,100,old,before,11,33,1,12,56,0.25,0.9166666666666666,0.39285714285714285
localization_quality,100,old,after,11,33,1,12,56,0.25,0.9166666666666666,0.39285714285714285
localization_quality,100,fixed,before,11,35,1,10,56,0.2391304347826087,0.9166666666666666,0.3793103448275862
localization_quality,100,fixed,after,11,35,1,10,56,0.2391304347826087,0.9166666666666666,0.3793103448275862
localization_quality,200,old,before,8,14,4,6,28,0.36363636363636365,0.6666666666666666,0.47058823529411764
localization_quality,200,old,after,8,14,4,6,28,0.36363636363636365,0.6666666666666666,0.47058823529411764
localization_quality,200,fixed,before,8,16,4,4,28,0.3333333333333333,0.6666666666666666,0.4444444444444444
localization_quality,200,fixed,after,8,16,4,4,28,0.3333333333333333,0.6666666666666666,0.4444444444444444
localization_quality,300,old,before,12,22,0,6,40,0.35294117647058826,1.0,0.5217391304347826
localization_quality,300,old,after,12,22,0,6,40,0.35294117647058826,1.0,0.5217391304347826
localization_quality,300,fixed,before,12,24,0,4,40,0.3333333333333333,1.0,0.5
localization_quality,300,fixed,after,12,24,0,4,40,0.3333333333333333,1.0,0.5
localization_quality,400,old,before,12,20,0,7,39,0.375,1.0,0.5454545454545454
localization_quality,400,old,after,12,20,0,7,39,0.375,1.0,0.5454545454545454
localization_quality,400,fixed,before,12,22,0,5,39,0.35294117647058826,1.0,0.5217391304347826
localization_quality,400,fixed,after,12,22,0,5,39,0.35294117647058826,1.0,0.5217391304347826
localization_quality,500,old,before,11,14,1,4,29,0.44,0.9166666666666666,0.5945945945945946
localization_quality,500,old,after,11,14,1,4,29,0.44,0.9166666666666666,0.5945945945945946
localization_quality,500,fixed,before,11,16,1,2,29,0.4074074074074074,0.9166666666666666,0.5641025641025641
localization_quality,500,fixed,after,11,16,1,2,29,0.4074074074074074,0.9166666666666666,0.5641025641025641
localization_quality,600,old,before,12,15,0,4,31,0.4444444444444444,1.0,0.6153846153846154
localization_quality,600,old,after,12,15,0,4,31,0.4444444444444444,1.0,0.6153846153846154
localization_quality,600,fixed,before,12,17,0,2,31,0.41379310344827586,1.0,0.5853658536585366
localization_quality,600,fixed,after,12,17,0,2,31,0.41379310344827586,1.0,0.5853658536585366
localization_quality,700,old,before,12,13,0,5,30,0.48,1.0,0.6486486486486487
localization_quality,700,old,after,12,13,0,5,30,0.48,1.0,0.6486486486486487
localization_quality,700,fixed,before,12,15,0,3,30,0.4444444444444444,1.0,0.6153846153846154
localization_quality,700,fixed,after,12,15,0,3,30,0.4444444444444444,1.0,0.6153846153846154
localization_quality,800,old,before,12,13,0,5,30,0.48,1.0,0.6486486486486487
localization_quality,800,old,after,12,13,0,5,30,0.48,1.0,0.6486486486486487
localization_quality,800,fixed,before,12,15,0,3,30,0.4444444444444444,1.0,0.6153846153846154
localization_quality,800,fixed,after,12,15,0,3,30,0.4444444444444444,1.0,0.6153846153846154
localization_quality,900,old,before,12,11,0,5,28,0.5217391304347826,1.0,0.6857142857142857
localization_quality,900,old,after,12,11,0,5,28,0.5217391304347826,1.0,0.6857142857142857
localization_quality,900,fixed,before,12,13,0,3,28,0.48,1.0,0.6486486486486487
localization_quality,900,fixed,after,12,13,0,3,28,0.48,1.0,0.6486486486486487
localization_quality,1000,old,before,12,11,0,5,28,0.5217391304347826,1.0,0.6857142857142857
localization_quality,1000,old,after,12,11,0,5,28,0.5217391304347826,1.0,0.6857142857142857
localization_quality,1000,fixed,before,12,13,0,3,28,0.48,1.0,0.6486486486486487
localization_quality,1000,fixed,after,12,13,0,3,28,0.48,1.0,0.6486486486486487
