method,partition,observation_row,global_sequence_index,parent_id,traversal_id,sequence_index,event,identity,score
geometry,fit,1632,1632,S01_flat_tree_small_C02,S01_flat_tree_small_C02:edge_0014:d1,12,corridor,,7.9400934942179076
geometry,fit,2495,2495,S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0004:d0,11,corridor,,20.815426012492715
geometry,fit,9427,10901,S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0001:d0,11,corridor,,7.742410593329703
geometry,fit,12411,13885,S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0015:d1,13,junction,S02_3d_tree_small_C03:node:node_0013,7.701277446579387
geometry,fit,13144,14618,S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0041:d0,16,corridor,,7.316500052771208
geometry,fit,15297,16771,S02_3d_tree_small_C05,S02_3d_tree_small_C05:edge_0037:d0,11,corridor,,10.298622390836895
geometry,fit,15323,16797,S02_3d_tree_small_C05,S02_3d_tree_small_C05:edge_0037:d1,18,junction,S02_3d_tree_small_C05:node:node_0035,14.935121913356706
geometry,fit,16244,17718,S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0013:d0,12,corridor,,8.039825212408052
geometry,fit,16659,18133,S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0031:d0,11,corridor,,14.7632582493732
geometry,fit,16664,18138,S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0031:d0,16,corridor,,21.477729507712706
geometry,fit,20372,23180,S03_flat_unicyclic_small_C01,S03_flat_unicyclic_small_C01:edge_0026:d1,11,junction,S03_flat_unicyclic_small_C01:node:node_0025,6.782605243338069
geometry,fit,20745,23553,S03_flat_unicyclic_small_C01,S03_flat_unicyclic_small_C01:edge_0039:d1,19,junction,S03_flat_unicyclic_small_C01:node:node_0038,7.374196385084952
geometry,fit,22225,25033,S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0029:d1,11,corridor,,7.792069291512167
geometry,fit,22433,25241,S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0036:d1,13,corridor,,11.50375212105126
geometry,fit,22572,25380,S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0040:d1,18,corridor,,14.735873478052111
geometry,fit,25411,28219,S03_flat_unicyclic_small_C04,S03_flat_unicyclic_small_C04:edge_0012:d1,11,corridor,,7.190253655759634
geometry,fit,32467,36741,S04_3d_unicyclic_small_C01,S04_3d_unicyclic_small_C01:edge_0046:d0,11,corridor,,6.830361730989916
geometry,fit,32489,36763,S04_3d_unicyclic_small_C01,S04_3d_unicyclic_small_C01:edge_0046:d1,16,corridor,,7.549727593691461
