parent_id,observations,unique_frames,valid_reference_cells,full_twelve_frame_observations,structural_episodes,source_shard
S01_flat_tree_small_C01,1252,1692,12028,524,30,artifacts/dataset/train/S01_flat_tree_small_C01.zarr
S01_flat_tree_small_C02,1134,1582,10622,416,31,artifacts/dataset/train/S01_flat_tree_small_C02.zarr
S01_flat_tree_small_C03,1522,1962,15184,752,22,artifacts/dataset/train/S01_flat_tree_small_C03.zarr
S01_flat_tree_small_C04,860,1292,7588,242,29,artifacts/dataset/train/S01_flat_tree_small_C04.zarr
S01_flat_tree_small_C05,1176,1600,11312,512,33,artifacts/dataset/train/S01_flat_tree_small_C05.zarr
S01_flat_tree_small_C06,1224,1648,11802,528,30,artifacts/dataset/train/S01_flat_tree_small_C06.zarr
S01_flat_tree_small_C07,1004,1452,9008,276,32,artifacts/dataset/train/S01_flat_tree_small_C07.zarr
S01_flat_tree_small_C08,1218,1650,11666,502,40,artifacts/dataset/train/S01_flat_tree_small_C08.zarr
S02_3d_tree_small_C01,1314,1754,12736,574,23,artifacts/dataset/train/S02_3d_tree_small_C01.zarr
S02_3d_tree_small_C02,1212,1660,11436,448,33,artifacts/dataset/train/S02_3d_tree_small_C02.zarr
S02_3d_tree_small_C03,1618,2066,16280,834,37,artifacts/dataset/train/S02_3d_tree_small_C03.zarr
S02_3d_tree_small_C04,1042,1506,9366,294,35,artifacts/dataset/train/S02_3d_tree_small_C04.zarr
S02_3d_tree_small_C05,1292,1724,12498,550,34,artifacts/dataset/train/S02_3d_tree_small_C05.zarr
S02_3d_tree_small_C06,1538,2002,15238,744,30,artifacts/dataset/train/S02_3d_tree_small_C06.zarr
S02_3d_tree_small_C07,922,1362,8102,216,28,artifacts/dataset/train/S02_3d_tree_small_C07.zarr
S02_3d_tree_small_C08,1590,2030,16006,826,28,artifacts/dataset/train/S02_3d_tree_small_C08.zarr
S03_flat_unicyclic_small_C01,1510,2014,14782,714,34,artifacts/dataset/train/S03_flat_unicyclic_small_C01.zarr
S03_flat_unicyclic_small_C02,1864,2400,18620,930,34,artifacts/dataset/train/S03_flat_unicyclic_small_C02.zarr
S03_flat_unicyclic_small_C03,1770,2258,17926,966,40,artifacts/dataset/train/S03_flat_unicyclic_small_C03.zarr
S03_flat_unicyclic_small_C04,1566,2062,15360,722,38,artifacts/dataset/train/S03_flat_unicyclic_small_C04.zarr
S03_flat_unicyclic_small_C05,1444,1900,14176,672,42,artifacts/dataset/train/S03_flat_unicyclic_small_C05.zarr
S03_flat_unicyclic_small_C06,1380,1932,12938,532,39,artifacts/dataset/train/S03_flat_unicyclic_small_C06.zarr
S03_flat_unicyclic_small_C07,906,1386,7892,236,46,artifacts/dataset/train/S03_flat_unicyclic_small_C07.zarr
S03_flat_unicyclic_small_C08,1414,1926,13410,534,32,artifacts/dataset/train/S03_flat_unicyclic_small_C08.zarr
S04_3d_unicyclic_small_C01,1408,2024,12744,428,46,artifacts/dataset/train/S04_3d_unicyclic_small_C01.zarr
S04_3d_unicyclic_small_C02,1174,1742,10294,274,39,artifacts/dataset/train/S04_3d_unicyclic_small_C02.zarr
S04_3d_unicyclic_small_C03,1754,2226,17750,934,44,artifacts/dataset/train/S04_3d_unicyclic_small_C03.zarr
S04_3d_unicyclic_small_C04,1268,1796,11726,442,44,artifacts/dataset/train/S04_3d_unicyclic_small_C04.zarr
S04_3d_unicyclic_small_C05,1058,1538,9450,284,56,artifacts/dataset/train/S04_3d_unicyclic_small_C05.zarr
S04_3d_unicyclic_small_C06,1408,1928,13260,502,37,artifacts/dataset/train/S04_3d_unicyclic_small_C06.zarr
S04_3d_unicyclic_small_C07,1134,1646,10188,316,46,artifacts/dataset/train/S04_3d_unicyclic_small_C07.zarr
S04_3d_unicyclic_small_C08,1526,2046,14792,678,45,artifacts/dataset/train/S04_3d_unicyclic_small_C08.zarr
S05_flat_branch_medium_C01,2190,2894,21540,1050,48,artifacts/dataset/train/S05_flat_branch_medium_C01.zarr
S05_flat_branch_medium_C02,2412,3204,23448,1056,51,artifacts/dataset/train/S05_flat_branch_medium_C02.zarr
S05_flat_branch_medium_C03,2468,3212,24430,1182,50,artifacts/dataset/train/S05_flat_branch_medium_C03.zarr
S05_flat_branch_medium_C04,2088,2776,20418,964,55,artifacts/dataset/train/S05_flat_branch_medium_C04.zarr
S05_flat_branch_medium_C05,1980,2668,19030,832,65,artifacts/dataset/train/S05_flat_branch_medium_C05.zarr
S05_flat_branch_medium_C06,2752,3488,27904,1484,61,artifacts/dataset/train/S05_flat_branch_medium_C06.zarr
S05_flat_branch_medium_C07,2068,2804,19832,862,46,artifacts/dataset/train/S05_flat_branch_medium_C07.zarr
S05_flat_branch_medium_C08,2466,3282,24116,1154,60,artifacts/dataset/train/S05_flat_branch_medium_C08.zarr
S06_3d_branch_medium_C01,1654,2382,14912,472,79,artifacts/dataset/train/S06_3d_branch_medium_C01.zarr
S06_3d_branch_medium_C02,1914,2586,18286,754,58,artifacts/dataset/train/S06_3d_branch_medium_C02.zarr
S06_3d_branch_medium_C03,1782,2486,16576,620,66,artifacts/dataset/train/S06_3d_branch_medium_C03.zarr
S06_3d_branch_medium_C04,3006,3782,30640,1648,52,artifacts/dataset/train/S06_3d_branch_medium_C04.zarr
S06_3d_branch_medium_C05,2208,2944,21416,970,60,artifacts/dataset/train/S06_3d_branch_medium_C05.zarr
S06_3d_branch_medium_C06,2472,3264,24156,1110,44,artifacts/dataset/train/S06_3d_branch_medium_C06.zarr
S06_3d_branch_medium_C07,1676,2364,15552,594,39,artifacts/dataset/train/S06_3d_branch_medium_C07.zarr
S06_3d_branch_medium_C08,2174,2910,20970,910,56,artifacts/dataset/train/S06_3d_branch_medium_C08.zarr
S07_flat_loop_rich_C01,3432,4496,33794,1598,86,artifacts/dataset/train/S07_flat_loop_rich_C01.zarr
S07_flat_loop_rich_C02,3468,4572,33954,1578,119,artifacts/dataset/train/S07_flat_loop_rich_C02.zarr
S07_flat_loop_rich_C03,2662,3606,25468,1082,87,artifacts/dataset/train/S07_flat_loop_rich_C03.zarr
S07_flat_loop_rich_C04,3408,4376,34158,1738,92,artifacts/dataset/train/S07_flat_loop_rich_C04.zarr
S07_flat_loop_rich_C05,2800,3792,26884,1182,80,artifacts/dataset/train/S07_flat_loop_rich_C05.zarr
S07_flat_loop_rich_C06,3026,4010,29530,1364,84,artifacts/dataset/train/S07_flat_loop_rich_C06.zarr
S07_flat_loop_rich_C07,2678,3646,25720,1154,81,artifacts/dataset/train/S07_flat_loop_rich_C07.zarr
S07_flat_loop_rich_C08,2654,3646,25172,1070,87,artifacts/dataset/train/S07_flat_loop_rich_C08.zarr
S08_3d_loop_rich_C01,3230,4310,31406,1446,68,artifacts/dataset/train/S08_3d_loop_rich_C01.zarr
S08_3d_loop_rich_C02,3304,4328,32638,1598,79,artifacts/dataset/train/S08_3d_loop_rich_C02.zarr
S08_3d_loop_rich_C03,2364,3340,22092,922,77,artifacts/dataset/train/S08_3d_loop_rich_C03.zarr
S08_3d_loop_rich_C04,3650,4674,36664,1874,77,artifacts/dataset/train/S08_3d_loop_rich_C04.zarr
S08_3d_loop_rich_C05,2668,3716,24836,926,83,artifacts/dataset/train/S08_3d_loop_rich_C05.zarr
S08_3d_loop_rich_C06,3272,4296,32206,1550,115,artifacts/dataset/train/S08_3d_loop_rich_C06.zarr
S08_3d_loop_rich_C07,3458,4442,34620,1746,94,artifacts/dataset/train/S08_3d_loop_rich_C07.zarr
S08_3d_loop_rich_C08,3212,4252,31444,1476,114,artifacts/dataset/train/S08_3d_loop_rich_C08.zarr
S09_flat_complex_C01,4704,6080,46964,2382,94,artifacts/dataset/train/S09_flat_complex_C01.zarr
S09_flat_complex_C02,3344,4592,31588,1274,112,artifacts/dataset/train/S09_flat_complex_C02.zarr
S09_flat_complex_C03,3840,5200,36738,1558,99,artifacts/dataset/train/S09_flat_complex_C03.zarr
S09_flat_complex_C04,3520,4736,33908,1486,97,artifacts/dataset/train/S09_flat_complex_C04.zarr
S09_flat_complex_C05,4594,5986,45484,2216,119,artifacts/dataset/train/S09_flat_complex_C05.zarr
S09_flat_complex_C06,3376,4648,31714,1234,114,artifacts/dataset/train/S09_flat_complex_C06.zarr
S09_flat_complex_C07,3580,4756,34828,1586,100,artifacts/dataset/train/S09_flat_complex_C07.zarr
S09_flat_complex_C08,4182,5422,41580,2048,122,artifacts/dataset/train/S09_flat_complex_C08.zarr
S10_3d_complex_C01,2624,3912,23094,654,110,artifacts/dataset/train/S10_3d_complex_C01.zarr
S10_3d_complex_C02,4052,5380,39616,1858,127,artifacts/dataset/train/S10_3d_complex_C02.zarr
S10_3d_complex_C03,3706,5018,35586,1560,119,artifacts/dataset/train/S10_3d_complex_C03.zarr
S10_3d_complex_C04,4282,5698,41686,1922,98,artifacts/dataset/train/S10_3d_complex_C04.zarr
S10_3d_complex_C05,3622,5014,34104,1384,136,artifacts/dataset/train/S10_3d_complex_C05.zarr
S10_3d_complex_C06,3522,4826,33364,1366,135,artifacts/dataset/train/S10_3d_complex_C06.zarr
S10_3d_complex_C07,4122,5522,39946,1814,110,artifacts/dataset/train/S10_3d_complex_C07.zarr
S10_3d_complex_C08,3958,5286,38470,1776,144,artifacts/dataset/train/S10_3d_complex_C08.zarr
