parent_id,traversal_id,sequence_index,identity,traversal_arc_m,emission_arc_m,boundary_traversal_arc_m,metres_before_confirmation,metres_after_boundary,before_closed_confirmation,at_closed_confirmation,boundary_inside_five_frame_history
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,7,S01_flat_tree_small_C01:node:node_0054,11.0,16.0,8.5,5.0,2.5,True,False,True
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,8,S01_flat_tree_small_C01:node:node_0054,12.0,16.0,8.5,4.0,3.5,True,False,True
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,9,S01_flat_tree_small_C01:node:node_0054,13.0,16.0,8.5,3.0,4.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,10,S01_flat_tree_small_C01:node:node_0054,14.0,16.0,8.5,2.0,5.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,11,S01_flat_tree_small_C01:node:node_0054,15.0,16.0,8.5,1.0,6.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d0,12,S01_flat_tree_small_C01:node:node_0054,16.0,16.0,8.5,0.0,7.5,False,True,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,12,S01_flat_tree_small_C01:node:node_0054,16.0,21.0,13.5,5.0,2.5,True,False,True
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,13,S01_flat_tree_small_C01:node:node_0054,17.0,21.0,13.5,4.0,3.5,True,False,True
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,14,S01_flat_tree_small_C01:node:node_0054,18.0,21.0,13.5,3.0,4.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,15,S01_flat_tree_small_C01:node:node_0054,19.0,21.0,13.5,2.0,5.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,16,S01_flat_tree_small_C01:node:node_0054,20.0,21.0,13.5,1.0,6.5,True,False,False
S01_flat_tree_small_C01,S01_flat_tree_small_C01:edge_0054:d1,17,S01_flat_tree_small_C01:node:node_0054,21.0,21.0,13.5,0.0,7.5,False,True,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d0,14,S01_flat_tree_small_C03:node:node_0035,18.0,22.0,15.0,4.0,3.0,True,False,True
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d0,15,S01_flat_tree_small_C03:node:node_0035,19.0,22.0,15.0,3.0,4.0,True,False,True
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d0,16,S01_flat_tree_small_C03:node:node_0035,20.0,22.0,15.0,2.0,5.0,True,False,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d0,17,S01_flat_tree_small_C03:node:node_0035,21.0,22.0,15.0,1.0,6.0,True,False,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d0,18,S01_flat_tree_small_C03:node:node_0035,22.0,22.0,15.0,0.0,7.0,False,True,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,6,S01_flat_tree_small_C03:node:node_0035,10.0,15.0,7.5,5.0,2.5,True,False,True
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,7,S01_flat_tree_small_C03:node:node_0035,11.0,15.0,7.5,4.0,3.5,True,False,True
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,8,S01_flat_tree_small_C03:node:node_0035,12.0,15.0,7.5,3.0,4.5,True,False,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,9,S01_flat_tree_small_C03:node:node_0035,13.0,15.0,7.5,2.0,5.5,True,False,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,10,S01_flat_tree_small_C03:node:node_0035,14.0,15.0,7.5,1.0,6.5,True,False,False
S01_flat_tree_small_C03,S01_flat_tree_small_C03:edge_0035:d1,11,S01_flat_tree_small_C03:node:node_0035,15.0,15.0,7.5,0.0,7.5,False,True,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,9,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,13.0,18.0,10.5,5.0,2.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,10,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,14.0,18.0,10.5,4.0,3.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,11,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,15.0,18.0,10.5,3.0,4.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,12,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,16.0,18.0,10.5,2.0,5.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,13,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,17.0,18.0,10.5,1.0,6.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0004:d1,14,S01_flat_tree_small_C05:edge_0004:geometry_change_point:000,18.0,18.0,10.5,0.0,7.5,False,True,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,9,S01_flat_tree_small_C05:node:node_0012,13.0,18.0,10.5,5.0,2.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,10,S01_flat_tree_small_C05:node:node_0012,14.0,18.0,10.5,4.0,3.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,11,S01_flat_tree_small_C05:node:node_0012,15.0,18.0,10.5,3.0,4.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,12,S01_flat_tree_small_C05:node:node_0012,16.0,18.0,10.5,2.0,5.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,13,S01_flat_tree_small_C05:node:node_0012,17.0,18.0,10.5,1.0,6.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d0,14,S01_flat_tree_small_C05:node:node_0012,18.0,18.0,10.5,0.0,7.5,False,True,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,6,S01_flat_tree_small_C05:node:node_0012,10.0,15.0,7.5,5.0,2.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,7,S01_flat_tree_small_C05:node:node_0012,11.0,15.0,7.5,4.0,3.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,8,S01_flat_tree_small_C05:node:node_0012,12.0,15.0,7.5,3.0,4.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,9,S01_flat_tree_small_C05:node:node_0012,13.0,15.0,7.5,2.0,5.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,10,S01_flat_tree_small_C05:node:node_0012,14.0,15.0,7.5,1.0,6.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0010:d1,11,S01_flat_tree_small_C05:node:node_0012,15.0,15.0,7.5,0.0,7.5,False,True,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,13,S01_flat_tree_small_C05:node:node_0016,17.0,22.0,14.5,5.0,2.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,14,S01_flat_tree_small_C05:node:node_0016,18.0,22.0,14.5,4.0,3.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,15,S01_flat_tree_small_C05:node:node_0016,19.0,22.0,14.5,3.0,4.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,16,S01_flat_tree_small_C05:node:node_0016,20.0,22.0,14.5,2.0,5.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,17,S01_flat_tree_small_C05:node:node_0016,21.0,22.0,14.5,1.0,6.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d0,18,S01_flat_tree_small_C05:node:node_0016,22.0,22.0,14.5,0.0,7.5,False,True,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,6,S01_flat_tree_small_C05:node:node_0016,10.0,15.0,7.5,5.0,2.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,7,S01_flat_tree_small_C05:node:node_0016,11.0,15.0,7.5,4.0,3.5,True,False,True
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,8,S01_flat_tree_small_C05:node:node_0016,12.0,15.0,7.5,3.0,4.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,9,S01_flat_tree_small_C05:node:node_0016,13.0,15.0,7.5,2.0,5.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,10,S01_flat_tree_small_C05:node:node_0016,14.0,15.0,7.5,1.0,6.5,True,False,False
S01_flat_tree_small_C05,S01_flat_tree_small_C05:edge_0013:d1,11,S01_flat_tree_small_C05:node:node_0016,15.0,15.0,7.5,0.0,7.5,False,True,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,8,S01_flat_tree_small_C08:node:node_0001,12.0,18.0,10.0,6.0,2.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,9,S01_flat_tree_small_C08:node:node_0001,13.0,18.0,10.0,5.0,3.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,10,S01_flat_tree_small_C08:node:node_0001,14.0,18.0,10.0,4.0,4.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,11,S01_flat_tree_small_C08:node:node_0001,15.0,18.0,10.0,3.0,5.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,12,S01_flat_tree_small_C08:node:node_0001,16.0,18.0,10.0,2.0,6.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,13,S01_flat_tree_small_C08:node:node_0001,17.0,18.0,10.0,1.0,7.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d0,14,S01_flat_tree_small_C08:node:node_0001,18.0,18.0,10.0,0.0,8.0,False,True,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,10,S01_flat_tree_small_C08:node:node_0001,14.0,20.0,12.0,6.0,2.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,11,S01_flat_tree_small_C08:node:node_0001,15.0,20.0,12.0,5.0,3.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,12,S01_flat_tree_small_C08:node:node_0001,16.0,20.0,12.0,4.0,4.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,13,S01_flat_tree_small_C08:node:node_0001,17.0,20.0,12.0,3.0,5.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,14,S01_flat_tree_small_C08:node:node_0001,18.0,20.0,12.0,2.0,6.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,15,S01_flat_tree_small_C08:node:node_0001,19.0,20.0,12.0,1.0,7.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0003:d1,16,S01_flat_tree_small_C08:node:node_0001,20.0,20.0,12.0,0.0,8.0,False,True,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,14,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,18.0,24.0,16.0,6.0,2.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,15,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,19.0,24.0,16.0,5.0,3.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,16,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,20.0,24.0,16.0,4.0,4.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,17,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,21.0,24.0,16.0,3.0,5.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,18,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,22.0,24.0,16.0,2.0,6.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,19,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,23.0,24.0,16.0,1.0,7.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d0,20,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,24.0,24.0,16.0,0.0,8.0,False,True,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,8,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,12.0,18.0,10.0,6.0,2.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,9,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,13.0,18.0,10.0,5.0,3.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,10,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,14.0,18.0,10.0,4.0,4.0,True,False,True
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,11,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,15.0,18.0,10.0,3.0,5.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,12,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,16.0,18.0,10.0,2.0,6.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,13,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,17.0,18.0,10.0,1.0,7.0,True,False,False
S01_flat_tree_small_C08,S01_flat_tree_small_C08:edge_0008:d1,14,S01_flat_tree_small_C08:edge_0008:geometry_change_point:000,18.0,18.0,10.0,0.0,8.0,False,True,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,8,S02_3d_tree_small_C01:node:node_0016,12.0,18.0,10.0,6.0,2.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,9,S02_3d_tree_small_C01:node:node_0016,13.0,18.0,10.0,5.0,3.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,10,S02_3d_tree_small_C01:node:node_0016,14.0,18.0,10.0,4.0,4.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,11,S02_3d_tree_small_C01:node:node_0016,15.0,18.0,10.0,3.0,5.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,12,S02_3d_tree_small_C01:node:node_0016,16.0,18.0,10.0,2.0,6.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,13,S02_3d_tree_small_C01:node:node_0016,17.0,18.0,10.0,1.0,7.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d0,14,S02_3d_tree_small_C01:node:node_0016,18.0,18.0,10.0,0.0,8.0,False,True,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,7,S02_3d_tree_small_C01:node:node_0016,11.0,17.0,9.0,6.0,2.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,8,S02_3d_tree_small_C01:node:node_0016,12.0,17.0,9.0,5.0,3.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,9,S02_3d_tree_small_C01:node:node_0016,13.0,17.0,9.0,4.0,4.0,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,10,S02_3d_tree_small_C01:node:node_0016,14.0,17.0,9.0,3.0,5.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,11,S02_3d_tree_small_C01:node:node_0016,15.0,17.0,9.0,2.0,6.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,12,S02_3d_tree_small_C01:node:node_0016,16.0,17.0,9.0,1.0,7.0,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0013:d1,13,S02_3d_tree_small_C01:node:node_0016,17.0,17.0,9.0,0.0,8.0,False,True,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,7,S02_3d_tree_small_C01:node:node_0054,11.0,18.0,9.5,7.0,1.5,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,8,S02_3d_tree_small_C01:node:node_0054,12.0,18.0,9.5,6.0,2.5,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,9,S02_3d_tree_small_C01:node:node_0054,13.0,18.0,9.5,5.0,3.5,True,False,True
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,10,S02_3d_tree_small_C01:node:node_0054,14.0,18.0,9.5,4.0,4.5,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,11,S02_3d_tree_small_C01:node:node_0054,15.0,18.0,9.5,3.0,5.5,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,12,S02_3d_tree_small_C01:node:node_0054,16.0,18.0,9.5,2.0,6.5,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,13,S02_3d_tree_small_C01:node:node_0054,17.0,18.0,9.5,1.0,7.5,True,False,False
S02_3d_tree_small_C01,S02_3d_tree_small_C01:edge_0054:d1,14,S02_3d_tree_small_C01:node:node_0054,18.0,18.0,9.5,0.0,8.5,False,True,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,7,S02_3d_tree_small_C03:node:node_0001,11.0,18.0,9.5,7.0,1.5,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,8,S02_3d_tree_small_C03:node:node_0001,12.0,18.0,9.5,6.0,2.5,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,9,S02_3d_tree_small_C03:node:node_0001,13.0,18.0,9.5,5.0,3.5,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,10,S02_3d_tree_small_C03:node:node_0001,14.0,18.0,9.5,4.0,4.5,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,11,S02_3d_tree_small_C03:node:node_0001,15.0,18.0,9.5,3.0,5.5,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,12,S02_3d_tree_small_C03:node:node_0001,16.0,18.0,9.5,2.0,6.5,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,13,S02_3d_tree_small_C03:node:node_0001,17.0,18.0,9.5,1.0,7.5,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d0,14,S02_3d_tree_small_C03:node:node_0001,18.0,18.0,9.5,0.0,8.5,False,True,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,10,S02_3d_tree_small_C03:node:node_0001,14.0,22.0,13.0,8.0,1.0,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,11,S02_3d_tree_small_C03:node:node_0001,15.0,22.0,13.0,7.0,2.0,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,12,S02_3d_tree_small_C03:node:node_0001,16.0,22.0,13.0,6.0,3.0,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,13,S02_3d_tree_small_C03:node:node_0001,17.0,22.0,13.0,5.0,4.0,True,False,True
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,14,S02_3d_tree_small_C03:node:node_0001,18.0,22.0,13.0,4.0,5.0,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,15,S02_3d_tree_small_C03:node:node_0001,19.0,22.0,13.0,3.0,6.0,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,16,S02_3d_tree_small_C03:node:node_0001,20.0,22.0,13.0,2.0,7.0,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,17,S02_3d_tree_small_C03:node:node_0001,21.0,22.0,13.0,1.0,8.0,True,False,False
S02_3d_tree_small_C03,S02_3d_tree_small_C03:edge_0001:d1,18,S02_3d_tree_small_C03:node:node_0001,22.0,22.0,13.0,0.0,9.0,False,True,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,12,S02_3d_tree_small_C06:node:node_0058,16.0,21.0,13.5,5.0,2.5,True,False,True
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,13,S02_3d_tree_small_C06:node:node_0058,17.0,21.0,13.5,4.0,3.5,True,False,True
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,14,S02_3d_tree_small_C06:node:node_0058,18.0,21.0,13.5,3.0,4.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,15,S02_3d_tree_small_C06:node:node_0058,19.0,21.0,13.5,2.0,5.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,16,S02_3d_tree_small_C06:node:node_0058,20.0,21.0,13.5,1.0,6.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d0,17,S02_3d_tree_small_C06:node:node_0058,21.0,21.0,13.5,0.0,7.5,False,True,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,5,S02_3d_tree_small_C06:node:node_0058,9.0,16.0,7.5,7.0,1.5,True,False,True
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,6,S02_3d_tree_small_C06:node:node_0058,10.0,16.0,7.5,6.0,2.5,True,False,True
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,7,S02_3d_tree_small_C06:node:node_0058,11.0,16.0,7.5,5.0,3.5,True,False,True
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,8,S02_3d_tree_small_C06:node:node_0058,12.0,16.0,7.5,4.0,4.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,9,S02_3d_tree_small_C06:node:node_0058,13.0,16.0,7.5,3.0,5.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,10,S02_3d_tree_small_C06:node:node_0058,14.0,16.0,7.5,2.0,6.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,11,S02_3d_tree_small_C06:node:node_0058,15.0,16.0,7.5,1.0,7.5,True,False,False
S02_3d_tree_small_C06,S02_3d_tree_small_C06:edge_0057:d1,12,S02_3d_tree_small_C06:node:node_0058,16.0,16.0,7.5,0.0,8.5,False,True,False
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,9,S03_flat_unicyclic_small_C02:node:node_0039,13.0,18.0,10.5,5.0,2.5,True,False,True
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,10,S03_flat_unicyclic_small_C02:node:node_0039,14.0,18.0,10.5,4.0,3.5,True,False,True
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,11,S03_flat_unicyclic_small_C02:node:node_0039,15.0,18.0,10.5,3.0,4.5,True,False,False
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,12,S03_flat_unicyclic_small_C02:node:node_0039,16.0,18.0,10.5,2.0,5.5,True,False,False
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,13,S03_flat_unicyclic_small_C02:node:node_0039,17.0,18.0,10.5,1.0,6.5,True,False,False
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d0,14,S03_flat_unicyclic_small_C02:node:node_0039,18.0,18.0,10.5,0.0,7.5,False,True,False
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d1,8,S03_flat_unicyclic_small_C02:node:node_0039,12.0,17.0,9.5,5.0,2.5,True,False,True
S03_flat_unicyclic_small_C02,S03_flat_unicyclic_small_C02:edge_0037:d1,9,S03_flat_unicyclic_small_C02:node:node_0039,13.0,17.0,9.5,4.0,3.5,True,False,True
