source,lag_steps,selection_corridor_rows,high_score_corridor_rows,removed_old_transition_rows,ordinary_corridor_rows,removed_old_transition_fraction
Teacher,2,30157,334,139,195,0.4161676646706587
Frozen prediction,2,30157,362,111,251,0.30662983425414364
Teacher,3,27142,310,139,171,0.4483870967741935
Frozen prediction,3,27142,306,87,219,0.28431372549019607
Teacher,4,24222,254,82,172,0.3228346456692913
Frozen prediction,4,24222,258,64,194,0.24806201550387597
Teacher,5,21467,216,45,171,0.20833333333333334
Frozen prediction,5,21467,217,42,175,0.1935483870967742
Teacher,6,18885,205,30,175,0.14634146341463414
Frozen prediction,6,18885,191,36,155,0.18848167539267016
Teacher,7,16486,186,25,161,0.13440860215053763
Frozen prediction,7,16486,161,28,133,0.17391304347826086
Teacher,8,13908,164,19,145,0.11585365853658537
Frozen prediction,8,13908,143,22,121,0.15384615384615385
Teacher,9,11583,140,14,126,0.1
Frozen prediction,9,11583,120,14,106,0.11666666666666667
Teacher,10,9508,115,11,104,0.09565217391304348
Frozen prediction,10,9508,101,10,91,0.09900990099009901
Teacher,11,7697,88,7,81,0.07954545454545454
Frozen prediction,11,7697,80,7,73,0.0875
Teacher,12,6137,68,3,65,0.04411764705882353
Frozen prediction,12,6137,60,5,55,0.08333333333333333
