source,lag_steps,fit_pairs,selection_pairs,selection_corridor_frames,selection_change_frames,transition_vs_corridor_auc,fit_corridor_threshold,selection_false_positive_rate,accepted_change_frames,covered_change_identities,total_change_identities
Teacher,2,116527,37641,30157,240,0.6633173889975793,2.135907173156742,0.011075372218722021,2,1,17
Frozen prediction,2,116527,37641,30157,240,0.6423677200428867,1.5624776482582092,0.012003846536459197,0,0,17
Teacher,3,104551,33718,27142,240,0.7069164026232407,4.030455350875858,0.011421413307788668,4,1,17
Frozen prediction,3,104551,33718,27142,240,0.6629801138457004,2.354133725166321,0.01127404023284946,0,0,17
Teacher,4,92845,29920,24222,240,0.7420673010761567,8.505936476061692,0.010486334737015936,1,1,17
Frozen prediction,4,92845,29920,24222,240,0.6802152141304049,3.1664538383483887,0.010651473866732722,0,0,17
Teacher,5,81546,26286,21467,240,0.7729546125060169,10.107156276702884,0.010061955559696278,0,0,17
Frozen prediction,5,81546,26286,21467,240,0.6917859388829366,3.9374905824661255,0.010108538687287465,0,0,17
Teacher,6,70835,22834,18885,239,0.7999454970239381,11.662444999111521,0.010855176065660577,0,0,17
Frozen prediction,6,70835,22834,18885,239,0.701707759916606,4.614360928535461,0.010113846968493514,0,0,17
Teacher,7,60851,19593,16486,236,0.8235775809777993,13.200940902900749,0.011282300133446561,0,0,17
Frozen prediction,7,60851,19593,16486,236,0.7173711335966624,5.270707309246063,0.009765861943467184,0,0,17
Teacher,8,51609,16648,13908,228,0.8467810398155297,13.240123748779297,0.01179177451826287,0,0,17
Frozen prediction,8,51609,16648,13908,228,0.7366219870931283,5.458157956600189,0.010281852171412137,0,0,17
Teacher,9,43217,13967,11583,213,0.85285340058423,13.42511463165283,0.01208667875334542,0,0,17
Frozen prediction,9,43217,13967,11583,213,0.7498981630437029,5.622418075799942,0.01036001036001036,0,0,17
Teacher,10,35745,11549,9508,192,0.8514847146262796,13.550323486328123,0.012095077829196466,0,0,17
Frozen prediction,10,35745,11549,9508,192,0.7645154628558407,5.7498666644096375,0.01062263357172907,0,0,17
Teacher,11,29162,9414,7697,168,0.841622741080322,13.759606907979657,0.01143302585422892,0,0,17
Frozen prediction,11,29162,9414,7697,168,0.7675570877954924,5.822535157203674,0.010393659867480837,0,0,17
Teacher,12,23474,7551,6137,142,0.8224025594007257,14.010551642630894,0.0110803324099723,0,0,17
Frozen prediction,12,23474,7551,6137,142,0.761596710784505,5.937463939189911,0.009776763891152028,0,0,17
