partition,family,pairs,positive,negative
fit,S01,1048,1048,0
fit,S02,1042,1042,0
fit,S03,1483,1480,3
fit,S04,1543,1543,0
fit,S05,2127,2127,0
fit,S06,1969,1969,0
fit,S07,3554,3539,15
fit,S08,2834,2834,0
fit,S09,4121,4121,0
fit,S10,3665,3656,9
selection,S01,456,430,26
selection,S02,343,343,0
selection,S03,463,463,0
selection,S04,509,509,0
selection,S05,658,658,0
selection,S06,676,676,0
selection,S07,1049,1018,31
selection,S08,979,973,6
selection,S09,1572,1564,8
selection,S10,1449,1449,0
