partition,family,event,incident_degree,query_identity,query_global_sequence_index,positive_global_sequence_index,positive_view_kind,hard_negative_identity,hard_negative_global_sequence_index,hard_negative_objective_profile_distance,query_profile_observations
fit,S01,junction,3,S01_flat_tree_small_C01:node:node_0000,13,35,different_physical_edge,S09_flat_complex_C04:node:node_0082,157252,0.018688698607055333,5
fit,S01,terminal,1,S01_flat_tree_small_C01:node:node_0008,216,230,same_edge_reverse_view,S09_flat_complex_C04:node:node_0105,157848,0.007715387950573672,5
fit,S01,terminal,1,S01_flat_tree_small_C01:node:node_0020,543,530,same_edge_reverse_view,S09_flat_complex_C06:node:node_0153,166524,0.003815841460378725,5
fit,S01,junction,3,S01_flat_tree_small_C01:node:node_0024,478,574,different_physical_edge,S09_flat_complex_C05:node:node_0047,159926,0.011614680069201092,5
fit,S01,terminal,1,S01_flat_tree_small_C01:node:node_0030,628,635,same_edge_reverse_view,S05_flat_branch_medium_C06:node:node_0083,62014,0.004894282556989144,5
fit,S01,terminal,1,S01_flat_tree_small_C01:node:node_0038,803,817,same_edge_reverse_view,S09_flat_complex_C05:node:node_0095,161224,0.005965705760322144,5
fit,S01,junction,3,S01_flat_tree_small_C01:node:node_0046,950,1004,different_physical_edge,S03_flat_unicyclic_small_C04:node:node_0059,29306,0.004230988426665109,5
fit,S01,terminal,1,S01_flat_tree_small_C01:node:node_0047,1031,1018,same_edge_reverse_view,S09_flat_complex_C05:node:node_0095,161224,0.007188957371988015,5
fit,S01,terminal,1,S01_flat_tree_small_C02:node:node_0000,1266,1256,same_edge_reverse_view,S03_flat_unicyclic_small_C01:node:node_0031,23189,0.004861780222453925,5
fit,S01,terminal,1,S01_flat_tree_small_C02:node:node_0013,1602,1594,same_edge_reverse_view,S01_flat_tree_small_C03:node:node_0020,2897,0.0047519693769179135,5
fit,S01,junction,3,S01_flat_tree_small_C02:node:node_0016,1610,1645,different_physical_edge,S09_flat_complex_C06:node:node_0017,163554,0.005895239812944136,5
fit,S01,junction,3,S01_flat_tree_small_C02:node:node_0029,1756,1811,different_physical_edge,S07_flat_loop_rich_C04:node:node_0010,97684,0.00823696220076878,5
fit,S01,terminal,1,S01_flat_tree_small_C02:node:node_0031,1774,1786,same_edge_reverse_view,S05_flat_branch_medium_C04:node:node_0000,55488,0.01405779838421423,5
fit,S01,terminal,1,S01_flat_tree_small_C02:node:node_0038,2003,1994,same_edge_reverse_view,S09_flat_complex_C03:node:node_0155,154824,0.012407445881091213,5
fit,S01,terminal,1,S01_flat_tree_small_C02:node:node_0046,2056,2066,same_edge_reverse_view,S05_flat_branch_medium_C03:node:node_0047,54369,0.006755677721563172,5
fit,S01,junction,3,S01_flat_tree_small_C02:node:node_0049,2150,2212,different_physical_edge,S05_flat_branch_medium_C04:node:node_0043,56622,0.021557943150808747,5
fit,S01,terminal,1,S01_flat_tree_small_C03:node:node_0011,2614,2628,same_edge_reverse_view,S05_flat_branch_medium_C02:node:node_0079,52642,0.008300985576114295,5
fit,S01,junction,3,S01_flat_tree_small_C03:node:node_0013,2686,2724,different_physical_edge,S08_3d_loop_rich_C06:node:node_0089,131854,0.05417141846399611,5
fit,S01,terminal,1,S01_flat_tree_small_C03:node:node_0020,2897,2911,same_edge_reverse_view,S01_flat_tree_small_C02:node:node_0013,1602,0.0047519693769179135,5
fit,S01,terminal,1,S01_flat_tree_small_C03:node:node_0033,3317,3308,same_edge_reverse_view,S05_flat_branch_medium_C02:node:node_0000,50608,0.008918448386451436,5
fit,S01,junction,3,S01_flat_tree_small_C03:node:node_0037,3233,3388,different_physical_edge,S07_flat_loop_rich_C04:node:node_0010,97684,0.006571443671346327,5
fit,S01,terminal,1,S01_flat_tree_small_C03:node:node_0041,3540,3514,same_edge_reverse_view,S05_flat_branch_medium_C06:node:node_0070,61387,0.007880486596105936,5
fit,S01,junction,3,S01_flat_tree_small_C04:node:node_0010,4078,4128,different_physical_edge,S07_flat_loop_rich_C06:node:node_0099,105754,0.007214345272335717,5
fit,S01,terminal,1,S01_flat_tree_small_C04:node:node_0012,4151,4146,same_edge_reverse_view,S09_flat_complex_C02:node:node_0081,149696,0.008474165068899597,5
fit,S01,terminal,1,S01_flat_tree_small_C04:node:node_0015,4123,4123,singleton_circular_shift_augmentation,S09_flat_complex_C03:node:node_0145,154619,0.011239745379190806,5
fit,S01,terminal,1,S01_flat_tree_small_C04:node:node_0016,4094,4103,same_edge_reverse_view,S10_3d_complex_C03:node:node_0148,188336,0.010896895044677989,5
fit,S01,terminal,1,S01_flat_tree_small_C04:node:node_0023,4247,4242,same_edge_reverse_view,S07_flat_loop_rich_C04:node:node_0039,98603,0.005316803821311162,5
fit,S01,junction,3,S01_flat_tree_small_C04:node:node_0026,4258,4278,different_physical_edge,S09_flat_complex_C04:node:node_0015,155370,0.03782730186300038,5
fit,S01,junction,3,S01_flat_tree_small_C04:node:node_0037,4385,4343,different_physical_edge,S07_flat_loop_rich_C01:node:node_0078,89802,0.009068095200389484,5
fit,S01,terminal,1,S01_flat_tree_small_C04:node:node_0054,4742,4756,same_edge_reverse_view,S01_flat_tree_small_C06:node:node_0038,6702,0.006640063583261088,5
fit,S01,terminal,1,S01_flat_tree_small_C05:node:node_0004,4950,4934,same_edge_reverse_view,S07_flat_loop_rich_C06:node:node_0115,106367,0.008911096050899875,5
fit,S01,terminal,1,S01_flat_tree_small_C05:node:node_0006,4903,4917,same_edge_reverse_view,S03_flat_unicyclic_small_C06:node:node_0042,31826,0.005971895946841325,5
fit,S01,terminal,1,S01_flat_tree_small_C05:node:node_0008,5046,5028,same_edge_reverse_view,S03_flat_unicyclic_small_C03:node:node_0060,27839,0.005256484119019704,5
