held_family,held_observations,macro_f1,junction_f1,terminal_f1,turn_f1,geometry_transition_f1,optimizer_iterations
S01,7168,0.5992409447984317,0.9177430319510538,0.9558323895809739,0.20987654320987656,0.07385524372230427,116
S02,8016,0.601407888665029,0.9373709566414314,0.9645390070921985,0.18019625334522746,0.0945945945945946,118
S03,9534,0.5922661816715931,0.9236700077101001,0.9358024691358025,0.17813765182186236,0.06186868686868687,114
S04,8070,0.626468773039669,0.9222500895736296,0.9627586206896552,0.3119266055045872,0.09041591320072331,115
S05,13890,0.5889738054248987,0.9235772357723577,0.9574468085106382,0.18813905930470348,0.051639916259595256,118
S06,13036,0.6140644890159648,0.9266706091070372,0.9501779359430604,0.21515892420537897,0.1570035915854284,116
S07,18796,0.6153134526450476,0.9240428790199082,0.9454322501532801,0.2660098522167487,0.07723577235772358,116
S08,18488,0.6034052908606939,0.9335892514395394,0.9545454545454544,0.2000976085895559,0.07816968541468065,113
S09,23378,0.6051853918572137,0.9263565891472868,0.9616519174041298,0.25155279503105593,0.0,112
S10,21808,0.607264675809217,0.9303733602421794,0.9520400858983536,0.289825282631038,0.05830549650774369,112
