partition,identity,event,support_bin,nearest_opposite_distance_m,inside_50m,route_stop_score
fit,S01_flat_tree_small_C04:node:node_0010,junction,31+,11.620550941868329,True,0.7701951728130615
fit,S01_flat_tree_small_C04:node:node_0015,terminal,1-3,11.620550941868329,True,0.808223568069931
fit,S02_3d_tree_small_C02:node:node_0009,terminal,4-10,15.36770481019159,True,0.8395264222966952
fit,S02_3d_tree_small_C02:node:node_0011,junction,31+,15.36770481019159,True,0.4898794409067369
fit,S02_3d_tree_small_C05:node:node_0019,terminal,4-10,13.873245182372266,True,0.687392285692213
fit,S02_3d_tree_small_C05:node:node_0021,junction,31+,13.873245182372266,True,0.3127823446128048
fit,S02_3d_tree_small_C06:node:node_0044,junction,31+,15.900296714798094,True,0.38015984920521007
fit,S02_3d_tree_small_C06:node:node_0048,terminal,4-10,15.900296714798094,True,0.8274336268854444
fit,S03_flat_unicyclic_small_C01:node:node_0025,junction,31+,15.097629843234994,True,0.3589829003084459
fit,S03_flat_unicyclic_small_C01:node:node_0031,terminal,4-10,15.097629843234994,True,0.7600765644055475
fit,S03_flat_unicyclic_small_C03:node:node_0039,junction,31+,24.58884855106809,True,0.2605957524687194
fit,S03_flat_unicyclic_small_C03:node:node_0040,terminal,11-30,24.58884855106809,True,0.9600275060561286
fit,S04_3d_unicyclic_small_C02:node:node_0001,terminal,4-10,14.21517042773596,True,0.8211654753945021
fit,S04_3d_unicyclic_small_C02:node:node_0002,terminal,1-3,12.626921079512263,True,0.4454543248139693
fit,S04_3d_unicyclic_small_C02:node:node_0012,junction,31+,12.626921079512263,True,0.26651845152126885
fit,S04_3d_unicyclic_small_C02:node:node_0017,junction,31+,14.21517042773596,True,0.38827803077999207
fit,S04_3d_unicyclic_small_C05:node:node_0029,terminal,1-3,11.387083183396388,True,0.5619717422721654
fit,S04_3d_unicyclic_small_C05:node:node_0031,junction,31+,11.387083183396388,True,0.4530162298142251
fit,S04_3d_unicyclic_small_C06:node:node_0062,terminal,1-3,13.840206277628115,True,0.7018830398469774
fit,S04_3d_unicyclic_small_C06:node:node_0063,junction,31+,13.840206277628115,True,0.33355951852982463
fit,S05_flat_branch_medium_C02:node:node_0077,junction,31+,13.910970692334049,True,0.4946145211959269
fit,S05_flat_branch_medium_C02:node:node_0083,terminal,1-3,13.910970692334049,True,0.7290687461923535
fit,S05_flat_branch_medium_C04:node:node_0055,junction,31+,15.480939596852892,True,0.36802213646374665
fit,S05_flat_branch_medium_C04:node:node_0061,terminal,4-10,15.480939596852892,True,0.7582363439931322
fit,S05_flat_branch_medium_C06:node:node_0003,terminal,11-30,23.369696503167482,True,0.9562968615849838
fit,S05_flat_branch_medium_C06:node:node_0005,junction,31+,23.369696503167482,True,0.2791809580311348
fit,S06_3d_branch_medium_C01:node:node_0069,junction,31+,16.51267923318037,True,0.3680819982825552
fit,S06_3d_branch_medium_C01:node:node_0076,terminal,11-30,16.51267923318037,True,0.7669353091469343
fit,S06_3d_branch_medium_C03:node:node_0050,junction,31+,20.248249420002423,True,0.5093018066831981
fit,S06_3d_branch_medium_C03:node:node_0059,terminal,11-30,20.248249420002423,True,0.9292362186827433
fit,S07_flat_loop_rich_C02:node:node_0105,junction,31+,22.003681190146942,True,0.25426809557736724
fit,S07_flat_loop_rich_C02:node:node_0123,terminal,11-30,22.003681190146942,True,0.8305305871031874
fit,S07_flat_loop_rich_C03:node:node_0097,junction,31+,11.884282256477494,True,0.39099996507684304
fit,S07_flat_loop_rich_C03:node:node_0100,terminal,1-3,11.884282256477494,True,0.6972739261900056
fit,S07_flat_loop_rich_C04:node:node_0008,terminal,11-30,20.990460019630973,True,0.8289748636490891
fit,S07_flat_loop_rich_C04:node:node_0010,junction,31+,20.990460019630973,True,0.278216971957688
fit,S07_flat_loop_rich_C04:node:node_0117,junction,31+,20.559695570014735,True,0.287083355997995
fit,S07_flat_loop_rich_C04:node:node_0118,terminal,11-30,20.559695570014735,True,0.9363830475321967
fit,S07_flat_loop_rich_C05:node:node_0095,terminal,11-30,20.795235245854336,True,0.8982608159306905
fit,S07_flat_loop_rich_C05:node:node_0101,junction,31+,20.795235245854336,True,0.612682085914058
fit,S08_3d_loop_rich_C02:node:node_0077,junction,31+,11.585895835829167,True,0.3822545915773145
fit,S08_3d_loop_rich_C02:node:node_0081,terminal,1-3,11.585895835829167,True,0.5215490102524711
fit,S08_3d_loop_rich_C03:node:node_0016,junction,31+,27.920922634082963,True,0.2180166438810104
fit,S08_3d_loop_rich_C03:node:node_0018,terminal,11-30,27.920922634082963,True,0.9367730163951998
fit,S08_3d_loop_rich_C05:node:node_0113,terminal,4-10,15.756740403513588,True,0.9116994285182988
fit,S08_3d_loop_rich_C05:node:node_0116,junction,31+,15.756740403513588,True,0.6769294812417724
fit,S08_3d_loop_rich_C06:node:node_0004,junction,31+,15.935688824788858,True,0.2552582582695788
fit,S08_3d_loop_rich_C06:node:node_0006,terminal,4-10,15.935688824788858,True,0.6368098627597294
fit,S09_flat_complex_C01:node:node_0083,junction,31+,20.05482499638833,True,0.49490664354061115
fit,S09_flat_complex_C01:node:node_0086,terminal,11-30,20.05482499638833,True,0.8558383142676577
fit,S09_flat_complex_C01:node:node_0120,junction,31+,16.068910553166493,True,0.3174092995917859
fit,S09_flat_complex_C01:node:node_0125,terminal,4-10,16.068910553166493,True,0.6723621030366477
fit,S09_flat_complex_C05:node:node_0070,junction,31+,17.940651474082756,True,0.42306289855587037
