method,seed,threshold,precision,recall,f1,macro_f1,multi_event_recall,second_depth_recall,matched_localization_mae_m
exclusive_single_center,,0.1,0.7559642578294439,0.2629054155981294,0.39013252148997135,0.4010370801916563,0.20948934459187776,0.0,1.7314787402771472
nonlearning_geometry,,0.95,0.011183261183261184,0.001870568713229748,0.0032050453617307245,0.002065909166638899,0.0049859268194611985,0.0,2.8388508389628444
free_query_joint,0,0.95,0.08310991957104558,0.08885201387841303,0.08588509769612133,0.0943891495604725,0.08122235625251306,0.0,2.4402778960889893
free_query_joint,1,0.95,0.13891048256891705,0.07008598581988233,0.09316595812946178,0.08881012203367551,0.06513872135102533,0.0,2.230754590915206
free_query_joint,2,0.95,0.11081153949851712,0.04960024136370493,0.06852712532043934,0.0754531739218173,0.04278246883795738,0.0,2.5119285703000447
frozen_encoder_set,0,0.95,0.14167916041979012,0.11974656810982048,0.12979283506924574,0.1351447582083649,0.10438279051065541,0.012658227848101266,2.5750299198411937
frozen_encoder_set,1,0.95,0.21122476139777177,0.1675969226127621,0.18689859363434494,0.26502094424627043,0.15601125854443104,0.13924050632911392,2.490057803263913
frozen_encoder_set,2,0.95,0.16032568467801628,0.13069844622114948,0.144003989030167,0.168642875768395,0.1182951347004423,0.02531645569620253,2.6324551227820416
structured_polar_multidepth,0,0.95,0.13758559968694972,0.21215869663599335,0.16692184440092578,0.17501713090923188,0.18488138319260153,0.08860759493670886,2.007192777598541
structured_polar_multidepth,1,0.95,0.10335748064503451,0.23804495399004375,0.1441332821833726,0.16245955396150338,0.22187374346602332,0.5063291139240507,2.0070308760767763
structured_polar_multidepth,2,0.95,0.12953086652822351,0.16560567204706592,0.14536354126666753,0.1634086902798669,0.15295536791314837,0.24050632911392406,2.053123041370603
