association_identity_teacher_only,partition,event,observations,distinct_traversals,full_visibility_rows,star_variants,canonical_exit_count
0,fit,geometry_transition,3,2,3,1,2
1,fit,geometry_transition,5,2,5,1,2
2,fit,geometry_transition,1,1,1,1,2
3,fit,geometry_transition,5,2,5,1,2
4,fit,geometry_transition,5,2,5,1,2
5,fit,geometry_transition,8,2,8,1,2
6,fit,geometry_transition,3,2,3,1,2
7,fit,geometry_transition,2,2,2,1,2
8,fit,geometry_transition,6,2,6,1,2
9,fit,geometry_transition,3,2,3,1,2
10,fit,geometry_transition,3,2,3,1,2
11,fit,geometry_transition,4,2,4,1,2
12,fit,geometry_transition,3,2,3,1,2
13,fit,geometry_transition,4,2,4,1,2
14,fit,geometry_transition,3,2,3,1,2
15,fit,geometry_transition,6,2,6,1,2
16,fit,geometry_transition,1,1,1,1,2
17,fit,geometry_transition,1,1,1,1,2
18,fit,geometry_transition,6,2,6,1,2
19,fit,geometry_transition,7,2,7,1,2
20,fit,geometry_transition,2,2,2,1,2
21,fit,geometry_transition,5,2,5,1,2
22,fit,geometry_transition,3,2,3,1,2
23,fit,geometry_transition,6,2,6,1,2
24,fit,geometry_transition,3,2,3,1,2
25,fit,geometry_transition,5,2,5,1,2
26,fit,geometry_transition,3,2,3,1,2
27,fit,geometry_transition,8,2,8,1,2
28,fit,geometry_transition,6,2,6,1,2
29,fit,geometry_transition,8,2,8,1,2
30,fit,geometry_transition,13,2,13,1,2
31,fit,junction,48,6,48,1,3
32,fit,terminal,17,2,17,1,1
33,fit,terminal,17,2,17,1,1
34,fit,junction,44,6,44,1,3
35,fit,terminal,14,2,14,1,1
36,fit,terminal,17,2,17,1,1
37,fit,junction,40,6,40,1,3
38,fit,terminal,17,2,17,1,1
39,fit,geometry_transition,1,1,1,1,2
40,fit,turn,1,1,1,1,2
41,fit,geometry_transition,8,2,8,1,2
42,fit,turn,3,2,3,1,2
43,fit,geometry_transition,2,2,2,1,2
44,fit,geometry_transition,9,2,9,1,2
45,fit,geometry_transition,9,2,9,1,2
46,fit,geometry_transition,12,2,12,1,2
47,fit,terminal,17,2,17,1,1
48,fit,terminal,15,2,15,1,1
49,fit,junction,29,6,29,1,3
50,fit,junction,37,6,37,1,3
51,fit,terminal,17,2,17,1,1
52,fit,terminal,16,2,16,1,1
53,fit,terminal,17,2,17,1,1
54,fit,junction,48,6,48,1,3
55,fit,geometry_transition,6,2,6,1,2
56,fit,geometry_transition,14,2,14,1,2
57,fit,geometry_transition,4,2,4,1,2
58,fit,geometry_transition,1,1,1,1,2
59,fit,geometry_transition,2,2,2,1,2
60,fit,geometry_transition,2,2,2,1,2
61,fit,geometry_transition,1,1,1,1,2
62,fit,geometry_transition,8,2,8,1,2
63,fit,geometry_transition,4,2,4,1,2
64,fit,geometry_transition,4,2,4,1,2
65,fit,geometry_transition,4,2,4,1,2
66,fit,geometry_transition,12,2,12,1,2
67,fit,geometry_transition,12,2,12,1,2
68,fit,geometry_transition,1,1,1,1,2
69,fit,geometry_transition,16,2,16,1,2
70,fit,geometry_transition,1,1,1,1,2
71,fit,geometry_transition,8,2,8,1,2
72,fit,geometry_transition,3,2,3,1,2
73,fit,geometry_transition,1,1,1,1,2
74,fit,geometry_transition,12,2,12,1,2
75,fit,geometry_transition,13,2,13,1,2
76,fit,geometry_transition,1,1,1,1,2
77,fit,geometry_transition,1,1,1,1,2
78,fit,geometry_transition,6,2,6,1,2
79,fit,geometry_transition,14,2,14,1,2
80,fit,geometry_transition,18,2,18,1,2
81,fit,terminal,17,2,17,1,1
82,fit,junction,51,6,51,1,3
83,fit,terminal,17,2,17,1,1
84,fit,terminal,16,2,16,1,1
85,fit,junction,51,6,51,1,3
86,fit,terminal,17,2,17,1,1
87,fit,turn,6,2,6,1,2
88,fit,geometry_transition,2,1,2,1,2
89,fit,geometry_transition,1,1,1,1,2
90,fit,geometry_transition,2,2,2,1,2
91,fit,geometry_transition,2,2,2,1,2
