split,parent_id,observations,branches,association_pairs
C07,S01_flat_tree_small_C07,1004,2072,488
C07,S02_3d_tree_small_C07,922,1851,418
C07,S03_flat_unicyclic_small_C07,906,1937,641
C07,S04_3d_unicyclic_small_C07,1134,2455,818
C07,S05_flat_branch_medium_C07,2068,4276,876
C07,S06_3d_branch_medium_C07,1676,3552,802
C07,S07_flat_loop_rich_C07,2678,5771,1512
C07,S08_3d_loop_rich_C07,3458,7215,2386
C07,S09_flat_complex_C07,3580,7655,1984
C07,S10_3d_complex_C07,4122,8720,2337
C08,S01_flat_tree_small_C08,1218,2591,842
C08,S02_3d_tree_small_C08,1590,3247,652
C08,S03_flat_unicyclic_small_C08,1414,2999,597
C08,S04_3d_unicyclic_small_C08,1526,3191,883
C08,S05_flat_branch_medium_C08,2466,5146,1281
C08,S06_3d_branch_medium_C08,2174,4562,1200
C08,S07_flat_loop_rich_C08,2654,5671,1305
C08,S08_3d_loop_rich_C08,3212,6807,2013
C08,S09_flat_complex_C08,4182,8894,3064
C08,S10_3d_complex_C08,3958,8429,3162
