split,model,mode,tolerance_deg,exact_set_fraction
C07,seed0,circular_mean,2.0,0.2967792834601819
C07,seed0,circular_mean,4.0,0.5820957861518471
C07,seed0,circular_mean,10.0,0.8107945052905142
C07,seed0,argmax,2.0,0.26526823835158714
C07,seed0,argmax,4.0,0.5447373306107295
C07,seed0,argmax,10.0,0.8089381845182848
C07,seed0,local_mode,2.0,0.2812790050120661
C07,seed0,local_mode,4.0,0.5548078708000742
C07,seed0,local_mode,10.0,0.8094950807499536
C07,seed1,circular_mean,2.0,0.2836458139966586
C07,seed1,circular_mean,4.0,0.5549935028772972
C07,seed1,circular_mean,10.0,0.8030443660664562
C07,seed1,argmax,2.0,0.2441061815481715
C07,seed1,argmax,4.0,0.5273343233710786
C07,seed1,argmax,10.0,0.8091702246148135
C07,seed1,local_mode,2.0,0.26253016521254874
C07,seed1,local_mode,4.0,0.5372192314832003
C07,seed1,local_mode,10.0,0.8104232411360683
C07,seed2,circular_mean,2.0,0.2976610358269909
C07,seed2,circular_mean,4.0,0.5952756636346761
C07,seed2,circular_mean,10.0,0.8350658993874142
C07,seed2,argmax,2.0,0.26253016521254874
C07,seed2,argmax,4.0,0.543437906070169
C07,seed2,argmax,10.0,0.8251345832559867
C07,seed2,local_mode,2.0,0.27742713940969
C07,seed2,local_mode,4.0,0.5542973825877111
C07,seed2,local_mode,10.0,0.8268052719509932
C07,ensemble,circular_mean,2.0,0.3412845739743828
C07,ensemble,circular_mean,4.0,0.6188045294226843
C07,ensemble,circular_mean,10.0,0.8380360126229812
C07,ensemble,argmax,2.0,0.30132726935214404
C07,ensemble,argmax,4.0,0.5918878782253574
C07,ensemble,argmax,10.0,0.8449972155188417
C07,ensemble,local_mode,2.0,0.3237887506961203
C07,ensemble,local_mode,4.0,0.6001485056617784
C07,ensemble,local_mode,10.0,0.8456933358084276
C08,seed0,circular_mean,2.0,0.25432483397556777
C08,seed0,circular_mean,4.0,0.5261129786012954
C08,seed0,circular_mean,10.0,0.7869148151184717
C08,seed0,argmax,2.0,0.24251865212757234
C08,seed0,argmax,4.0,0.5102894154300238
C08,seed0,argmax,10.0,0.7920390259899975
C08,seed0,local_mode,2.0,0.25690743625481677
C08,seed0,local_mode,4.0,0.5223005657128802
C08,seed0,local_mode,10.0,0.7928179060424695
C08,seed1,circular_mean,2.0,0.23350004099368699
C08,seed1,circular_mean,4.0,0.506968926785275
C08,seed1,circular_mean,10.0,0.7885955562843322
C08,seed1,argmax,2.0,0.21464294498647207
C08,seed1,argmax,4.0,0.49040747724850375
C08,seed1,argmax,10.0,0.793514798720997
C08,seed1,local_mode,2.0,0.22534229728621794
C08,seed1,local_mode,4.0,0.5034024760186931
C08,seed1,local_mode,10.0,0.7947856030171354
C08,seed2,circular_mean,2.0,0.2703943592686726
C08,seed2,circular_mean,4.0,0.5535787488726736
C08,seed2,circular_mean,10.0,0.8178240550955153
C08,seed2,argmax,2.0,0.24641305238993194
C08,seed2,argmax,4.0,0.5150036894318275
C08,seed2,argmax,10.0,0.8134377305894892
C08,seed2,local_mode,2.0,0.2636713946052308
C08,seed2,local_mode,4.0,0.5248011806181848
C08,seed2,local_mode,10.0,0.8149544970074608
C08,ensemble,circular_mean,2.0,0.27777322292366974
C08,ensemble,circular_mean,4.0,0.561203574649504
C08,ensemble,circular_mean,10.0,0.8204476510617364
C08,ensemble,argmax,2.0,0.2709272771993113
C08,ensemble,argmax,4.0,0.5535377551857014
C08,ensemble,argmax,10.0,0.8306550791178159
C08,ensemble,local_mode,2.0,0.2858079855702222
C08,ensemble,local_mode,4.0,0.5648520127900304
C08,ensemble,local_mode,10.0,0.8312289907354268
