feature,c07_average_precision,c07_threshold,c07_precision,c07_recall,c07_accepted,c08_precision,c08_recall,c08_accepted
original_score,0.5970024034871927,0.6312905314544148,1.0,0.0018535681186283596,10,1.0,0.001452696568004358,8
count_confidence,0.4413287040714971,,0.0,0.0,0,0.0,0.0,0
count_margin,0.43718066385840393,,0.0,0.0,0,0.0,0.0,0
normalized_selected_min,0.5966606359596861,0.6313537776598035,1.0,0.0018535681186283596,10,1.0,0.001452696568004358,8
selected_next_margin,0.5905136183790687,,0.0,0.0,0,0.0,0.0,0
negative_mass_entropy,0.5994729145212321,,0.0,0.0,0,0.0,0.0,0
negative_observation_uncertainty,0.19055252891120825,,0.0,0.0,0,0.0,0.0,0
seed_count_agreement,0.23758628090391068,,0.0,0.0,0,0.0,0.0,0
negative_seed_set_disagreement,0.49029919650228165,,0.0,0.0,0,0.0,0.0,0
original_consensus,0.5699740089914087,0.6163782088755373,1.0,0.0009267840593141798,5,1.0,0.000726348284002179,4
