check,passed
exact_population_and_split,1
exact_cardinality,1
teacher_source_join_exact,1
all_references_contiguous_and_past_only,1
teacher_contains_no_lidar_pose_or_identity,1
exact_real_batch_coverage,1
typed_forward_has_only_scans,1
no_free_query_parameter,1
exact_parameter_count,1
finite_real_batch_output_loss_backward,1
circular_dense_axis_and_global_equivariance,1
batch_permutation_and_repeat_deterministic,1
masked_targets_do_not_change_loss,1
all_five_frames_connected,1
zero_training_threshold_test_graph,1
