split,parent_id,precision,recall,true_positive,false_positive,false_negative,selected_peaks
C07,S01_flat_tree_small_C07,0.0,0.0,0,0,2072,0
C07,S02_3d_tree_small_C07,0.0,0.0,0,0,1851,0
C07,S03_flat_unicyclic_small_C07,0.0,0.0,0,0,1937,0
C07,S04_3d_unicyclic_small_C07,0.0,0.0,0,0,2455,0
C07,S05_flat_branch_medium_C07,0.0,0.0,0,0,4276,0
C07,S06_3d_branch_medium_C07,0.0,0.0,0,0,3552,0
C07,S07_flat_loop_rich_C07,0.0,0.0,0,0,5771,0
C07,S08_3d_loop_rich_C07,0.0,0.0,0,0,7215,0
C07,S09_flat_complex_C07,0.0,0.0,0,0,7655,0
C07,S10_3d_complex_C07,0.0,0.0,0,0,8720,0
C08,S01_flat_tree_small_C08,0.0,0.0,0,0,2591,0
C08,S02_3d_tree_small_C08,0.0,0.0,0,0,3247,0
C08,S03_flat_unicyclic_small_C08,0.0,0.0,0,0,2999,0
C08,S04_3d_unicyclic_small_C08,0.0,0.0,0,0,3191,0
C08,S05_flat_branch_medium_C08,0.0,0.0,0,0,5146,0
C08,S06_3d_branch_medium_C08,0.0,0.0,0,0,4562,0
C08,S07_flat_loop_rich_C08,0.0,0.0,0,0,5671,0
C08,S08_3d_loop_rich_C08,0.0,0.0,0,0,6807,0
C08,S09_flat_complex_C08,0.0,0.0,0,0,8894,0
C08,S10_3d_complex_C08,0.0,0.0,0,0,8429,0
