split,decoder,count_accuracy,exact2,exact4,exact10,complex_exact10
c07,formal_ensemble,0.8793855578243921,0.2008074995359198,0.4209207351030258,0.6740764804158158,0.0
c07,oracle_count_ensemble,1.0,0.21291999257471692,0.44328940040839054,0.711852608130685,0.0
c07,target_aligned_ensemble,1.0,0.21296640059402264,0.44352144050491926,0.7129664005940226,0.0
c07,seed0,0.8758585483571562,0.11184332652682384,0.2984499721551884,0.6091052533877854,0.00032102728731942215
c07,seed1,0.8891312418785966,0.1621496194542417,0.37516242806757005,0.6361147206237238,0.0
c07,seed2,0.8136718024874698,0.18990161499907185,0.39702060516057175,0.6599220345275664,0.0
c08,formal_ensemble,0.8689431827498565,0.15721078953841108,0.3638599655653029,0.6438058538984996,0.0
c08,oracle_count_ensemble,1.0,0.16819709764696236,0.3851766827908502,0.6838976797573174,0.0
c08,target_aligned_ensemble,1.0,0.16819709764696236,0.38550463228662785,0.6850045093055669,0.00027839643652561246
c08,seed0,0.8658276625399688,0.10486185127490366,0.26395835041403626,0.567762564565057,0.0
c08,seed1,0.8812822825284906,0.12384192834303517,0.3308600475526769,0.61129786012954,0.0
c08,seed2,0.8087234565876855,0.14860211527424777,0.3414364187915061,0.6213003197507584,0.0
