event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.5,2,1,2,0.7605633802816901,0.9086538461538461,0.828039430449069,497
1,0.5,2,1,3,0.7866108786610879,0.9038461538461539,0.8411633109619687,478
1,0.5,2,1,5,0.8181818181818182,0.8870192307692307,0.8512110726643598,451
1,0.5,2,1,8,0.8243243243243243,0.8798076923076923,0.8511627906976744,444
1,0.5,2,2,2,0.8825,0.8485576923076923,0.8651960784313725,400
1,0.5,2,2,3,0.8914141414141414,0.8485576923076923,0.8694581280788177,396
1,0.5,2,2,5,0.9,0.84375,0.870967741935484,390
1,0.5,2,2,8,0.904639175257732,0.84375,0.873134328358209,388
1,0.5,2,3,2,0.9668874172185431,0.7019230769230769,0.8133704735376044,302
1,0.5,2,3,3,0.9700996677740864,0.7019230769230769,0.8145048814504882,301
1,0.5,2,3,5,0.9733333333333334,0.7019230769230769,0.8156424581005587,300
1,0.5,2,3,8,0.9733333333333334,0.7019230769230769,0.8156424581005587,300
1,0.5,3,1,2,0.9012345679012346,0.7019230769230769,0.7891891891891891,324
1,0.5,3,1,3,0.906832298136646,0.7019230769230769,0.7913279132791329,322
1,0.5,3,1,5,0.9125,0.7019230769230769,0.7934782608695653,320
1,0.5,3,1,8,0.9206349206349206,0.6971153846153846,0.7934336525307798,315
1,0.5,3,2,2,0.9583333333333334,0.4423076923076923,0.6052631578947368,192
1,0.5,3,2,3,0.9583333333333334,0.4423076923076923,0.6052631578947368,192
1,0.5,3,2,5,0.9583333333333334,0.4423076923076923,0.6052631578947368,192
1,0.5,3,2,8,0.9583333333333334,0.4423076923076923,0.6052631578947368,192
1,0.5,3,3,2,0.9893617021276596,0.22355769230769232,0.36470588235294116,94
1,0.5,3,3,3,0.9893617021276596,0.22355769230769232,0.36470588235294116,94
1,0.5,3,3,5,0.9893617021276596,0.22355769230769232,0.36470588235294116,94
1,0.5,3,3,8,0.9893617021276596,0.22355769230769232,0.36470588235294116,94
1,0.6,2,1,2,0.7757201646090535,0.90625,0.8359201773835919,486
