split,tolerance_bins,tolerance_deg,average_precision,maximum_match_recall,safe_recall
C07,0,0,0.06903424166741023,0.2401766877637131,
C07,1,2,0.4066161823376357,0.6020569620253164,0.00032964135021097045
C07,2,4,0.6520497819611809,0.7942378691983122,0.00032964135021097045
C07,3,6,0.7853185917093243,0.8906469760900141,0.001516350210970464
C07,5,10,0.9002965986941196,0.9678270042194093,0.005537974683544304
C07,8,16,0.9479662165550075,0.9942642405063291,0.2245516877637131
C07,10,20,0.9575118805183431,0.9977364627285513,0.29197433192686356
C08,0,0,0.057518945872114556,0.22098686380658555,
C08,1,2,0.3586538050561662,0.5719580107495585,3.8807070648272114e-05
C08,2,4,0.6152423835839088,0.7721442846886702,0.000329860100510313
C08,3,6,0.7751659586085357,0.8807846789685081,0.004326988377282341
C08,5,10,0.8985780797536057,0.961348157634321,0.021537924209791025
C08,8,16,0.9449797259121226,0.991016163144925,0.1781632613462173
C08,10,20,0.9557106288652567,0.996720802530221,0.3094475813493218
