check,passed
typed_forward_is_lidar_only,True
parameter_budget_at_most_1p5m,True
full_population_provenance_exact,True
real_batch_exact_and_complete,True
predecessor_backbone_loads_exactly,True
simultaneous_reveal_withdraw_is_representable,True
dustbin_and_real_transport_are_typed,True
real_forward_loss_backward_finite,True
proposal_rotation_at_most_3e5,True
transport_rotation_at_most_3e5,True
axis_rotation_at_most_3e5,True
global_outputs_rotation_invariant,True
batch_permutation_at_most_3e6,True
deterministic_repeat_exact,True
reverse_transport_exact_involution,True
zero_optimizer_checkpoint_test_graph,True
