check,passed
sealed_sparse_readiness_pass,True
typed_forward_remains_lidar_only,True
parameter_delta_is_exactly_903,True
count_output_is_finite_b5x7,True
explicit_count_semantics_are_zero_through_six,True
real_count_target_matches_unique_identity,True
real_count_target_within_capacity,True
real_count_loss_is_finite,True
count_head_gradient_is_finite_nonzero,True
count_is_causal,True
count_rotation_invariant,True
count_batch_permutation_at_most_3e6,True
count_repeat_exact,True
predecessor_backbone_loads_exactly,True
zero_optimizer_checkpoint_test_graph,True
