check,passed
c07_population_exact,True
ten_world_prediction_population_exact,True
fixed_real_sample_has_all_events,True
typed_inputs_exclude_forbidden_fields,True
action_forward_accepts_only_typed_input,True
metric_forward_accepts_only_typed_input,True
real_outputs_finite_and_normalized,True
token_permutation_invariant,True
global_rotation_invariant,True
batch_permutation_consistent,True
deterministic_repeat_exact,True
causal_backprojection_support_valid,True
complete_backward_finite,True
small_parameter_budget,True
zero_training_test_graph,True
