split,task_id,parent_id,geometry_realization,rows,active_primitives,observed_endpoints,physical_clusters,observable_multimember_clusters,observed_singletons_from_physical_multimember,undirected_attachment_labels,observable_undirected_attachment_labels,maximum_clusters_per_row,maximum_cluster_size,passed
fit,S01_flat_tree_small_C01__c1_mixed,S01_flat_tree_small_C01,c1_mixed,1252,9618,16097,7769,7517,202,8939,8077,11,3,True
fit,S01_flat_tree_small_C01__ellipse,S01_flat_tree_small_C01,ellipse,1252,9864,16473,8018,7859,112,9204,8147,11,3,True
fit,S01_flat_tree_small_C01__rounded_rectangle,S01_flat_tree_small_C01,rounded_rectangle,1252,9439,15391,7611,7222,339,8737,7398,11,3,True
fit,S01_flat_tree_small_C02__c1_mixed,S01_flat_tree_small_C02,c1_mixed,1134,9231,15411,7583,7222,285,8611,7624,13,3,True
fit,S01_flat_tree_small_C02__ellipse,S01_flat_tree_small_C02,ellipse,1134,9467,16050,7807,7593,126,8853,8115,13,3,True
fit,S01_flat_tree_small_C02__rounded_rectangle,S01_flat_tree_small_C02,rounded_rectangle,1134,9114,15048,7480,6984,410,8480,7452,13,3,True
fit,S01_flat_tree_small_C03__c1_mixed,S01_flat_tree_small_C03,c1_mixed,1522,10209,16412,8247,7849,319,9127,7849,9,3,True
fit,S01_flat_tree_small_C03__ellipse,S01_flat_tree_small_C03,ellipse,1522,10470,17044,8493,8231,208,9403,8231,9,3,True
fit,S01_flat_tree_small_C03__rounded_rectangle,S01_flat_tree_small_C03,rounded_rectangle,1522,10043,15900,8077,7543,438,8965,7543,9,3,True
fit,S01_flat_tree_small_C04__c1_mixed,S01_flat_tree_small_C04,c1_mixed,860,7863,13304,6554,6170,288,7308,6542,15,3,True
fit,S01_flat_tree_small_C04__ellipse,S01_flat_tree_small_C04,ellipse,860,8085,13590,6754,6376,274,7504,6562,17,3,True
fit,S01_flat_tree_small_C04__rounded_rectangle,S01_flat_tree_small_C04,rounded_rectangle,860,7606,12653,6355,5878,395,7117,5994,14,3,True
fit,S01_flat_tree_small_C05__c1_mixed,S01_flat_tree_small_C05,c1_mixed,1176,8872,14481,7170,6898,167,8222,7052,15,3,True
fit,S01_flat_tree_small_C05__ellipse,S01_flat_tree_small_C05,ellipse,1176,9156,15006,7441,7191,140,8519,7305,15,3,True
fit,S01_flat_tree_small_C05__rounded_rectangle,S01_flat_tree_small_C05,rounded_rectangle,1176,8677,13998,6978,6633,243,8024,6767,15,3,True
fit,S01_flat_tree_small_C06__c1_mixed,S01_flat_tree_small_C06,c1_mixed,1224,9316,14807,7494,7042,376,8320,7042,14,3,True
fit,S01_flat_tree_small_C06__ellipse,S01_flat_tree_small_C06,ellipse,1224,9514,15401,7694,7402,221,8500,7402,15,3,True
