seed,task,rows,topology_family,geometry_family,deployed_exact_attachment_f1,proposal_oracle_exact_attachment_f1
0,S01_flat_tree_small_C07__c1_mixed.zarr,1004,S01_flat_tree_small,c1_mixed.zarr,0.13216156836234577,0.2177806138202178
0,S01_flat_tree_small_C07__ellipse.zarr,1004,S01_flat_tree_small,ellipse.zarr,0.05077648804791435,0.23781700142016637
0,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,S01_flat_tree_small,rounded_rectangle.zarr,0.12239514639936692,0.22197156138911675
0,S02_3d_tree_small_C07__c1_mixed.zarr,922,S02_3d_tree_small,c1_mixed.zarr,0.12664932608181603,0.20751460121538862
0,S02_3d_tree_small_C07__ellipse.zarr,922,S02_3d_tree_small,ellipse.zarr,0.05168549604354389,0.22002501172424574
0,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,S02_3d_tree_small,rounded_rectangle.zarr,0.11806290384312312,0.21273297523342585
0,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,S03_flat_unicyclic_small,c1_mixed.zarr,0.10778537198523058,0.1799638224993265
0,S03_flat_unicyclic_small_C07__ellipse.zarr,906,S03_flat_unicyclic_small,ellipse.zarr,0.054509084847474576,0.1805782562137181
0,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,S03_flat_unicyclic_small,rounded_rectangle.zarr,0.10801691368043395,0.18703311497479846
0,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,S04_3d_unicyclic_small,c1_mixed.zarr,0.12271152894606631,0.21880962865110817
0,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,S04_3d_unicyclic_small,ellipse.zarr,0.048433491409469016,0.231999339879528
0,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,S04_3d_unicyclic_small,rounded_rectangle.zarr,0.12413487625269919,0.22394865241635686
0,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,S05_flat_branch_medium,c1_mixed.zarr,0.12138622891016872,0.24092240325286474
0,S05_flat_branch_medium_C07__ellipse.zarr,2068,S05_flat_branch_medium,ellipse.zarr,0.027359572029040886,0.2584792504025663
0,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,S05_flat_branch_medium,rounded_rectangle.zarr,0.1195321171414748,0.24968596222327222
0,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,S06_3d_branch_medium,c1_mixed.zarr,0.13693560325684678,0.21162608012568734
0,S06_3d_branch_medium_C07__ellipse.zarr,1676,S06_3d_branch_medium,ellipse.zarr,0.04276063054709233,0.2308089916033954
0,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,S06_3d_branch_medium,rounded_rectangle.zarr,0.1342591967144459,0.22171895406674633
0,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,S07_flat_loop_rich,c1_mixed.zarr,0.11276619574086814,0.21864469559404107
0,S07_flat_loop_rich_C07__ellipse.zarr,2678,S07_flat_loop_rich,ellipse.zarr,0.04381938221254961,0.2171606950468245
0,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,S07_flat_loop_rich,rounded_rectangle.zarr,0.10640790798224335,0.22710611474932135
0,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,S08_3d_loop_rich,c1_mixed.zarr,0.10155602044984711,0.2785244685903792
0,S08_3d_loop_rich_C07__ellipse.zarr,3458,S08_3d_loop_rich,ellipse.zarr,0.022394400248673167,0.31333103834072035
0,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,S08_3d_loop_rich,rounded_rectangle.zarr,0.0981817254481932,0.29072295070471915
0,S09_flat_complex_C07__c1_mixed.zarr,3580,S09_flat_complex,c1_mixed.zarr,0.1103378553123457,0.24265831830401197
0,S09_flat_complex_C07__ellipse.zarr,3580,S09_flat_complex,ellipse.zarr,0.02726710048679302,0.24804661164297526
0,S09_flat_complex_C07__rounded_rectangle.zarr,3580,S09_flat_complex,rounded_rectangle.zarr,0.10599752731309767,0.2535763884207262
0,S10_3d_complex_C07__c1_mixed.zarr,4122,S10_3d_complex,c1_mixed.zarr,0.10595087732051503,0.2418705687936457
0,S10_3d_complex_C07__ellipse.zarr,4122,S10_3d_complex,ellipse.zarr,0.02457941774001461,0.263258434862608
0,S10_3d_complex_C07__rounded_rectangle.zarr,4122,S10_3d_complex,rounded_rectangle.zarr,0.10144754751472881,0.2512674676802698
1,S01_flat_tree_small_C07__c1_mixed.zarr,1004,S01_flat_tree_small,c1_mixed.zarr,0.02610896777128224,0.1975223335472089
1,S01_flat_tree_small_C07__ellipse.zarr,1004,S01_flat_tree_small,ellipse.zarr,0.01158644600135798,0.2757732609519
1,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,S01_flat_tree_small,rounded_rectangle.zarr,0.21541031530590937,0.23436269792669057
1,S02_3d_tree_small_C07__c1_mixed.zarr,922,S02_3d_tree_small,c1_mixed.zarr,0.02643845073440141,0.18452081587035485
1,S02_3d_tree_small_C07__ellipse.zarr,922,S02_3d_tree_small,ellipse.zarr,0.012221210672002736,0.25303821450025415
1,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,S02_3d_tree_small,rounded_rectangle.zarr,0.18120150930597362,0.20478794943064646
1,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,S03_flat_unicyclic_small,c1_mixed.zarr,0.02885089427416904,0.150251171191511
1,S03_flat_unicyclic_small_C07__ellipse.zarr,906,S03_flat_unicyclic_small,ellipse.zarr,0.01309401843304673,0.20592539710869176
1,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,S03_flat_unicyclic_small,rounded_rectangle.zarr,0.17503366031929218,0.18955361923769654
1,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,S04_3d_unicyclic_small,c1_mixed.zarr,0.025563050839616144,0.1881172774278992
1,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,S04_3d_unicyclic_small,ellipse.zarr,0.011958925855323897,0.27435168660629694
1,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,S04_3d_unicyclic_small,rounded_rectangle.zarr,0.2170107471285593,0.23159298630996744
1,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,S05_flat_branch_medium,c1_mixed.zarr,0.023167309847014577,0.21708687937610896
1,S05_flat_branch_medium_C07__ellipse.zarr,2068,S05_flat_branch_medium,ellipse.zarr,0.010359861225609501,0.300512
1,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,S05_flat_branch_medium,rounded_rectangle.zarr,0.22193849472780505,0.26227538915861653
1,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,S06_3d_branch_medium,c1_mixed.zarr,0.026122209765216696,0.1926195135588482
1,S06_3d_branch_medium_C07__ellipse.zarr,1676,S06_3d_branch_medium,ellipse.zarr,0.011420658837546617,0.2654773680799536
1,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,S06_3d_branch_medium,rounded_rectangle.zarr,0.19896582166729726,0.22109042331134673
1,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,S07_flat_loop_rich,c1_mixed.zarr,0.025715346214639313,0.1877081759353546
1,S07_flat_loop_rich_C07__ellipse.zarr,2678,S07_flat_loop_rich,ellipse.zarr,0.01107227094897109,0.2531048517468951
1,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,S07_flat_loop_rich,rounded_rectangle.zarr,0.195821778517286,0.2212385883096866
1,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,S08_3d_loop_rich,c1_mixed.zarr,0.01959241220504688,0.2501144314392206
1,S08_3d_loop_rich_C07__ellipse.zarr,3458,S08_3d_loop_rich,ellipse.zarr,0.009276421756560797,0.3595482909329763
1,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,S08_3d_loop_rich,rounded_rectangle.zarr,0.2145326828201659,0.29139614721001794
1,S09_flat_complex_C07__c1_mixed.zarr,3580,S09_flat_complex,c1_mixed.zarr,0.022256427892707906,0.2105824755209641
1,S09_flat_complex_C07__ellipse.zarr,3580,S09_flat_complex,ellipse.zarr,0.009931631211125936,0.29672196390957006
1,S09_flat_complex_C07__rounded_rectangle.zarr,3580,S09_flat_complex,rounded_rectangle.zarr,0.23807770459163496,0.2732076378047316
1,S10_3d_complex_C07__c1_mixed.zarr,4122,S10_3d_complex,c1_mixed.zarr,0.022690789407263073,0.2112614435560611
1,S10_3d_complex_C07__ellipse.zarr,4122,S10_3d_complex,ellipse.zarr,0.010476654676977119,0.31888248219802734
1,S10_3d_complex_C07__rounded_rectangle.zarr,4122,S10_3d_complex,rounded_rectangle.zarr,0.22848995921795737,0.2656836834052024
2,S01_flat_tree_small_C07__c1_mixed.zarr,1004,S01_flat_tree_small,c1_mixed.zarr,0.1305097266683083,0.22685228440624125
2,S01_flat_tree_small_C07__ellipse.zarr,1004,S01_flat_tree_small,ellipse.zarr,0.06871211647816035,0.24627760168340304
2,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,S01_flat_tree_small,rounded_rectangle.zarr,0.028707939081166728,0.20694888178913737
2,S02_3d_tree_small_C07__c1_mixed.zarr,922,S02_3d_tree_small,c1_mixed.zarr,0.11267257366577375,0.21566889404063821
2,S02_3d_tree_small_C07__ellipse.zarr,922,S02_3d_tree_small,ellipse.zarr,0.07604938271604939,0.22848980336139563
2,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,S02_3d_tree_small,rounded_rectangle.zarr,0.03155240958014157,0.17824422853778077
2,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,S03_flat_unicyclic_small,c1_mixed.zarr,0.1323701802743719,0.2025748900768671
2,S03_flat_unicyclic_small_C07__ellipse.zarr,906,S03_flat_unicyclic_small,ellipse.zarr,0.061798970468707665,0.18138881537427984
