partition,tasks,rows,observable_positive_pairs,clusters,rows_with_cluster,maximum_clusters_per_row,maximum_endpoints_per_cluster,nonclique_rows,reconstruction_mismatched_pairs,disconnected_overlap_violations,asymmetric_attachment_rows,deterministic_rederive_mismatches,canonical_label_sha256,task
fit,1,1252,8077,7517,1252,11,3,0,0,0,0,0,,S01_flat_tree_small_C01__c1_mixed
fit,1,1252,8147,7859,1252,11,3,0,0,0,0,0,,S01_flat_tree_small_C01__ellipse
fit,1,1252,7398,7222,1252,11,3,0,0,0,0,0,,S01_flat_tree_small_C01__rounded_rectangle
fit,1,1134,7624,7222,1134,12,3,0,0,0,0,0,,S01_flat_tree_small_C02__c1_mixed
fit,1,1134,8115,7593,1134,13,3,0,0,0,0,0,,S01_flat_tree_small_C02__ellipse
fit,1,1134,7452,6984,1134,12,3,0,0,0,0,0,,S01_flat_tree_small_C02__rounded_rectangle
fit,1,1522,7849,7849,1522,9,2,0,0,0,0,0,,S01_flat_tree_small_C03__c1_mixed
fit,1,1522,8231,8231,1522,9,2,0,0,0,0,0,,S01_flat_tree_small_C03__ellipse
fit,1,1522,7543,7543,1522,9,2,0,0,0,0,0,,S01_flat_tree_small_C03__rounded_rectangle
fit,1,860,6542,6170,860,14,3,0,0,0,0,0,,S01_flat_tree_small_C04__c1_mixed
fit,1,860,6562,6376,860,17,3,0,0,0,0,0,,S01_flat_tree_small_C04__ellipse
fit,1,860,5994,5878,860,14,3,0,0,0,0,0,,S01_flat_tree_small_C04__rounded_rectangle
fit,1,1176,7052,6898,1176,14,3,0,0,0,0,0,,S01_flat_tree_small_C05__c1_mixed
fit,1,1176,7305,7191,1176,14,3,0,0,0,0,0,,S01_flat_tree_small_C05__ellipse
fit,1,1176,6767,6633,1176,14,3,0,0,0,0,0,,S01_flat_tree_small_C05__rounded_rectangle
fit,1,1224,7042,7042,1224,14,2,0,0,0,0,0,,S01_flat_tree_small_C06__c1_mixed
fit,1,1224,7402,7402,1224,14,2,0,0,0,0,0,,S01_flat_tree_small_C06__ellipse
fit,1,1224,6860,6860,1224,13,2,0,0,0,0,0,,S01_flat_tree_small_C06__rounded_rectangle
fit,1,1314,8751,8259,1314,12,3,0,0,0,0,0,,S02_3d_tree_small_C01__c1_mixed
fit,1,1314,8827,8345,1314,12,3,0,0,0,0,0,,S02_3d_tree_small_C01__ellipse
