split,task_id,parent_id,geometry_realization,rows,primitive_count,observable_endpoints,observable_pairs,observable_positive_pairs,overlap_hard_negative_pairs,maximum_positive_target_anchor_distance_m,minimum_negative_target_anchor_distance_m,minimum_overlap_hard_negative_anchor_distance_m,minimum_distinct_construction_node_distance_m
fit,S01_flat_tree_small_C01__c1_mixed,S01_flat_tree_small_C01,c1_mixed,1252,55,16097,98633,8077,14115,0.0,6.6851420402526855,6.6851420402526855,6.685142137863125
fit,S01_flat_tree_small_C01__ellipse,S01_flat_tree_small_C01,ellipse,1252,55,16473,104454,8147,16883,0.0,6.6851420402526855,6.6851420402526855,6.685142137863125
fit,S01_flat_tree_small_C01__rounded_rectangle,S01_flat_tree_small_C01,rounded_rectangle,1252,55,15391,89825,7398,9976,0.0,6.6851420402526855,6.6851420402526855,6.685142137863125
fit,S01_flat_tree_small_C02__c1_mixed,S01_flat_tree_small_C02,c1_mixed,1134,56,15411,100623,7624,14440,0.0,5.816664695739746,5.816664695739746,5.816664511770778
fit,S01_flat_tree_small_C02__ellipse,S01_flat_tree_small_C02,ellipse,1134,56,16050,110025,8115,18124,0.0,5.816664695739746,5.816664695739746,5.816664511770778
fit,S01_flat_tree_small_C02__rounded_rectangle,S01_flat_tree_small_C02,rounded_rectangle,1134,56,15048,95813,7452,10759,0.0,5.816664695739746,5.816664695739746,5.816664511770778
fit,S01_flat_tree_small_C03__c1_mixed,S01_flat_tree_small_C03,c1_mixed,1522,55,16412,78539,7849,7036,0.0,10.347209930419922,10.347209930419922,10.34720960006731
fit,S01_flat_tree_small_C03__ellipse,S01_flat_tree_small_C03,ellipse,1522,55,17044,84835,8231,9338,0.0,10.347209930419922,10.347209930419922,10.34720960006731
fit,S01_flat_tree_small_C03__rounded_rectangle,S01_flat_tree_small_C03,rounded_rectangle,1522,55,15900,73124,7543,5046,0.0,10.347209930419922,10.347209930419922,10.34720960006731
fit,S01_flat_tree_small_C04__c1_mixed,S01_flat_tree_small_C04,c1_mixed,860,54,13304,103446,6542,14874,0.0,5.609046459197998,5.609046459197998,5.6090462324529184
fit,S01_flat_tree_small_C04__ellipse,S01_flat_tree_small_C04,ellipse,860,54,13590,109249,6562,17971,0.0,5.609046459197998,5.609046459197998,5.6090462324529184
fit,S01_flat_tree_small_C04__rounded_rectangle,S01_flat_tree_small_C04,rounded_rectangle,860,54,12653,92920,5994,10863,0.0,5.609046459197998,5.609046459197998,5.6090462324529184
fit,S01_flat_tree_small_C05__c1_mixed,S01_flat_tree_small_C05,c1_mixed,1176,53,14481,90664,7052,14023,0.0,5.985416889190674,5.985416889190674,5.985416690960216
fit,S01_flat_tree_small_C05__ellipse,S01_flat_tree_small_C05,ellipse,1176,53,15006,98711,7305,17286,0.0,5.985416889190674,5.985416889190674,5.985416690960216
fit,S01_flat_tree_small_C05__rounded_rectangle,S01_flat_tree_small_C05,rounded_rectangle,1176,53,13998,84731,6767,10621,0.0,5.985416889190674,5.985416889190674,5.985416690960216
fit,S01_flat_tree_small_C06__c1_mixed,S01_flat_tree_small_C06,c1_mixed,1224,53,14807,88806,7042,11092,0.0,6.23405647277832,6.23405647277832,2.852444539919265
fit,S01_flat_tree_small_C06__ellipse,S01_flat_tree_small_C06,ellipse,1224,53,15401,97687,7402,15061,0.0,2.852444648742676,2.852444648742676,2.852444539919265
fit,S01_flat_tree_small_C06__rounded_rectangle,S01_flat_tree_small_C06,rounded_rectangle,1224,53,14418,83231,6860,8346,0.0,6.23405647277832,6.23405647277832,2.852444539919265
fit,S02_3d_tree_small_C01__c1_mixed,S02_3d_tree_small_C01,c1_mixed,1314,55,17385,114622,8751,20895,0.0,7.0242767333984375,7.0242767333984375,7.024276710068102
fit,S02_3d_tree_small_C01__ellipse,S02_3d_tree_small_C01,ellipse,1314,55,17502,116349,8827,22327,0.0,7.0242767333984375,7.0242767333984375,7.024276710068102
fit,S02_3d_tree_small_C01__rounded_rectangle,S02_3d_tree_small_C01,rounded_rectangle,1314,55,16886,108339,8415,17783,0.0,7.0242767333984375,7.0242767333984375,7.024276710068102
fit,S02_3d_tree_small_C02__c1_mixed,S02_3d_tree_small_C02,c1_mixed,1212,56,16268,106106,8202,18843,0.0,8.242822647094727,8.242822647094727,8.242822349255839
fit,S02_3d_tree_small_C02__ellipse,S02_3d_tree_small_C02,ellipse,1212,56,16600,110234,8457,21322,0.0,8.242822647094727,8.242822647094727,8.242822349255839
fit,S02_3d_tree_small_C02__rounded_rectangle,S02_3d_tree_small_C02,rounded_rectangle,1212,56,15925,101116,8076,15296,0.0,8.242822647094727,8.242822647094727,8.242822349255839
fit,S02_3d_tree_small_C03__c1_mixed,S02_3d_tree_small_C03,c1_mixed,1618,56,16987,78279,8703,9297,0.0,11.46079158782959,12.393156051635742,11.460791569798596
fit,S02_3d_tree_small_C03__ellipse,S02_3d_tree_small_C03,ellipse,1618,56,17202,80415,8820,10507,0.0,11.46079158782959,12.393156051635742,11.460791569798596
fit,S02_3d_tree_small_C03__rounded_rectangle,S02_3d_tree_small_C03,rounded_rectangle,1618,56,16644,74917,8545,7434,0.0,11.46079158782959,12.393156051635742,11.460791569798596
fit,S02_3d_tree_small_C04__c1_mixed,S02_3d_tree_small_C04,c1_mixed,1042,58,15447,114200,7530,20888,0.0,6.516325950622559,6.516325950622559,6.5163258764868
