seed,task,rows,deployed_fixed_tp,deployed_fixed_fp,deployed_fixed_fn,deployed_fixed_precision,deployed_fixed_recall,proposal_oracle_fixed_tp,proposal_oracle_fixed_fp,proposal_oracle_fixed_fn,proposal_oracle_fixed_precision,proposal_oracle_fixed_recall
0,S01_flat_tree_small_C07__c1_mixed.zarr,1004,1645,47337,5956,0.03358376546486464,0.2164188922510196,1988,7171,5613,0.21705426356589147,0.26154453361399815
0,S01_flat_tree_small_C07__ellipse.zarr,1004,531,54108,7274,0.009718333058804152,0.06803331197950033,1454,4969,6351,0.22637396855052155,0.1862908392056374
0,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,2126,44385,5361,0.04570961707983058,0.28395886202751436,2237,8153,5250,0.21530317613089509,0.2987845599038333
0,S02_3d_tree_small_C07__c1_mixed.zarr,922,1276,39333,5655,0.03142160604792041,0.18410041841004185,1716,7639,5215,0.1834313201496526,0.24758332131005628
0,S02_3d_tree_small_C07__ellipse.zarr,922,529,44480,6835,0.011753204914572641,0.071835958718088,1338,4700,6026,0.22159655515071217,0.18169473112438891
0,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,1882,37875,5160,0.04733757577281988,0.2672536211303607,2105,9415,4937,0.18272569444444445,0.2989207611474013
0,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,1380,36364,6912,0.03656210258584146,0.16642547033285093,1991,11849,6301,0.14385838150289018,0.24011095031355523
0,S03_flat_unicyclic_small_C07__ellipse.zarr,906,740,41490,7806,0.017523087852237745,0.08659021764568219,1716,7041,6830,0.1959575196985269,0.20079569389187923
0,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,1589,34466,6294,0.04407155734294827,0.20157300520106558,2140,11675,5743,0.15490408975750997,0.2714702524419637
0,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,1704,51608,7163,0.03196278511404562,0.19217322657042968,2260,8741,6607,0.20543586946641215,0.25487763617909104
0,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,650,56197,8416,0.011434200573469137,0.07169644826825503,1682,5514,7384,0.23374096720400223,0.185528347672623
0,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,2394,49791,6369,0.045875251509054325,0.2731941116056145,2601,9677,6162,0.21184231959602542,0.296816158849709
0,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,2325,92519,11133,0.0245139386782506,0.17275969683459652,2780,9895,10678,0.2193293885601578,0.20656858374201217
0,S05_flat_branch_medium_C07__ellipse.zarr,2068,1041,109591,13020,0.009409574083447827,0.07403456368679326,2338,6336,11723,0.2695411574821305,0.1662755138325866
0,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,2966,85843,9673,0.033397516017520744,0.23467046443547748,3125,10521,9514,0.22900483658214862,0.2472505736213308
0,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,1971,60369,10364,0.03161693936477382,0.15978921767328738,2518,10284,9817,0.19668801749726605,0.20413457640859342
0,S06_3d_branch_medium_C07__ellipse.zarr,1676,837,69396,11845,0.011917474691384392,0.06599905377700678,2052,6427,10630,0.24200967095176318,0.1618041318404037
0,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,2494,59362,9768,0.04031945162959131,0.2033925950089708,2840,11689,9422,0.19547112671209305,0.23160985157396835
0,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,3045,103191,16752,0.028662600248503332,0.15381118351265344,3903,18435,15894,0.17472468439430566,0.19715108349749963
0,S07_flat_loop_rich_C07__ellipse.zarr,2678,1404,127540,19076,0.010888447698225586,0.0685546875,3495,11985,16985,0.22577519379844962,0.170654296875
0,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,4052,93803,14719,0.041408206019109904,0.21586489798092803,4595,20333,14176,0.1843308729139923,0.24479249906771083
0,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,3299,165173,16730,0.01958188897858398,0.1647111688052324,4295,10000,15734,0.30045470444211264,0.2144390633581307
0,S08_3d_loop_rich_C07__ellipse.zarr,3458,1356,179144,19012,0.007512465373961219,0.06657501963864886,3110,6322,17258,0.32972858354537743,0.15269049489395128
0,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,4510,158560,14584,0.027656834488256576,0.23619985335707552,4685,11063,14409,0.29749809499619,0.2453650361370064
0,S09_flat_complex_C07__c1_mixed.zarr,3580,3888,158632,19144,0.023923209451144473,0.16880861410211878,5038,17892,17994,0.21971216746620148,0.21873914553664467
0,S09_flat_complex_C07__ellipse.zarr,3580,1563,185391,22121,0.008360345325588112,0.06599391994595508,4198,12047,19486,0.25841797476146505,0.17725046444857287
0,S09_flat_complex_C07__rounded_rectangle.zarr,3580,5522,148610,17077,0.035826434484727374,0.24434709500420373,6056,19459,16543,0.23735057809131882,0.26797645913535995
0,S10_3d_complex_C07__c1_mixed.zarr,4122,4704,184932,22727,0.024805416693032968,0.17148481644854363,6151,20586,21280,0.23005572801735422,0.2242353541613503
0,S10_3d_complex_C07__ellipse.zarr,4122,1960,204526,26272,0.009492168960607499,0.06942476622272599,4641,13091,23591,0.26173020527859236,0.16438792859166904
0,S10_3d_complex_C07__rounded_rectangle.zarr,4122,6682,177788,19653,0.03622269203664553,0.2537307765331308,7250,22861,19085,0.24077579622065026,0.275299031706854
1,S01_flat_tree_small_C07__c1_mixed.zarr,1004,1664,179097,5937,0.009205525528183624,0.21891856334692802,1666,7576,5935,0.18026401211858906,0.21918168662018156
1,S01_flat_tree_small_C07__ellipse.zarr,1004,1529,173517,6276,0.008734846840259132,0.19590006406149904,2003,6275,5802,0.24196665861319158,0.25663036515054455
1,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,2660,177992,4827,0.014724442574673959,0.35528248964872444,2660,13504,4827,0.1645632269240287,0.35528248964872444
1,S02_3d_tree_small_C07__c1_mixed.zarr,922,1595,154993,5336,0.010185965718956753,0.2301255230125523,1595,7899,5336,0.16800084263745524,0.2301255230125523
1,S02_3d_tree_small_C07__ellipse.zarr,922,1512,159394,5852,0.009396790672815184,0.20532319391634982,1872,6552,5492,0.2222222222222222,0.2542096686583379
1,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,2506,162463,4536,0.01519073280434506,0.3558648111332008,2506,13972,4536,0.15208156329651656,0.3558648111332008
1,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,1565,127795,6727,0.012098021026592454,0.1887361312108056,1565,9145,6727,0.14612511671335202,0.1887361312108056
1,S03_flat_unicyclic_small_C07__ellipse.zarr,906,1398,128960,7148,0.010724313045612851,0.16358530306576177,1794,6831,6752,0.208,0.20992277088696465
1,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,2227,134155,5656,0.016329134343241777,0.2825066599010529,2227,14234,5656,0.13528947208553552,0.2825066599010529
1,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,1978,192059,6889,0.010193932085117787,0.22307432051426637,1978,8952,6889,0.1809698078682525,0.22307432051426637
1,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,1792,190055,7274,0.009340776764817798,0.19766159276417383,2262,7048,6804,0.24296455424274974,0.24950363997352745
1,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,3298,197330,5465,0.01643838347588572,0.37635512952185324,3298,17903,5465,0.15555870006131786,0.37635512952185324
1,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,2760,378982,10698,0.007230013988505326,0.2050824788230049,2760,9971,10698,0.2167936532872516,0.2050824788230049
1,S05_flat_branch_medium_C07__ellipse.zarr,2068,3218,393719,10843,0.00810707996483069,0.22885996728539934,3748,10256,10313,0.2676378177663525,0.2665528767512979
1,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,4593,384625,8046,0.011800584762266905,0.3633990030856872,4593,20411,8046,0.1836906095024796,0.3633990030856872
1,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,2931,269277,9404,0.010767501322518075,0.23761653830563437,2931,13725,9404,0.17597262247838616,0.23761653830563437
1,S06_3d_branch_medium_C07__ellipse.zarr,1676,2664,265891,10018,0.009919755729738787,0.2100615044945592,3103,11085,9579,0.21870594868903298,0.24467749566314462
1,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,4011,278612,8251,0.014192050894654716,0.32710813896591096,4011,23074,8251,0.14808934834779397,0.32710813896591096
1,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,3850,414372,15947,0.009205637197469287,0.1944739101884124,3850,17383,15947,0.1813215278104837,0.1944739101884124
1,S07_flat_loop_rich_C07__ellipse.zarr,2678,3457,428248,17023,0.008007783092621118,0.168798828125,4148,13098,16332,0.2405195407630755,0.2025390625
1,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,5581,419497,13190,0.013129355083067108,0.29732033455862766,5581,28039,13190,0.16600237953599048,0.29732033455862766
1,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,4420,637041,15609,0.006890520234277688,0.2206800139797294,4420,12920,15609,0.2549019607843137,0.2206800139797294
1,S08_3d_loop_rich_C07__ellipse.zarr,3458,4371,624444,15997,0.006951170057966175,0.21460133542812254,4906,9150,15462,0.3490324416619237,0.24086802827965437
1,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,7627,648363,11467,0.011626701626549186,0.39944485178590133,7627,25265,11467,0.23188009242368965,0.39944485178590133
1,S09_flat_complex_C07__c1_mixed.zarr,3580,4605,625606,18427,0.007307076518816714,0.19993921500521014,4605,17017,18427,0.21297752289334937,0.19993921500521014
1,S09_flat_complex_C07__ellipse.zarr,3580,4756,624441,18928,0.007558840871777837,0.20081067387265664,5536,12927,18148,0.2998429291014461,0.23374429994933288
1,S09_flat_complex_C07__rounded_rectangle.zarr,3580,7895,632405,14704,0.01233015773856005,0.34935174122748797,7896,32360,14703,0.19614467408585057,0.3493959909730519
1,S10_3d_complex_C07__c1_mixed.zarr,4122,6152,733051,21279,0.00832247704622411,0.22427180926688783,6152,24369,21279,0.20156613479243798,0.22427180926688783
1,S10_3d_complex_C07__ellipse.zarr,4122,5601,724625,22631,0.007670228121157012,0.19839189572116747,6632,17043,21600,0.28012671594508975,0.23491073958628506
1,S10_3d_complex_C07__rounded_rectangle.zarr,4122,9692,747291,16643,0.012803457937628718,0.3680273400417695,9693,41502,16642,0.1893348959859361,0.36806531232200496
2,S01_flat_tree_small_C07__c1_mixed.zarr,1004,1005,61846,6596,0.01599019904217912,0.13221944480989342,1319,5530,6282,0.19258285881150533,0.17352979871069596
2,S01_flat_tree_small_C07__ellipse.zarr,1004,1306,66785,6499,0.019180214712663936,0.16732863549007046,1530,4487,6275,0.25427954129965097,0.1960281870595772
2,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,729,60137,6758,0.011977130089048073,0.09736877253906771,731,2011,6756,0.26659372720641866,0.09763590223053292
2,S02_3d_tree_small_C07__c1_mixed.zarr,922,776,56577,6155,0.013530242533084581,0.1119607560236618,1129,5497,5802,0.17038937518865077,0.16289135766844612
2,S02_3d_tree_small_C07__ellipse.zarr,922,1358,58615,6006,0.022643522918646724,0.1844106463878327,1576,5463,5788,0.22389543969313824,0.2140141227593699
2,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,685,54407,6357,0.012433747186524359,0.09727350184606647,687,2670,6355,0.20464700625558535,0.09755751207043453
2,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,910,53082,7382,0.016854348792413692,0.10974433188615533,1177,6125,7115,0.16118871542043275,0.14194404245055475
2,S03_flat_unicyclic_small_C07__ellipse.zarr,906,1195,57533,7351,0.020348045225446126,0.1398315001170138,1438,7765,7108,0.15625339563185917,0.16826585537093378
2,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,648,51245,7235,0.012487233345537934,0.08220220728149182,657,3394,7226,0.1621821772401876,0.08334390460484586
2,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,1003,67288,7864,0.014687147647567029,0.11311604826886207,1449,6752,7418,0.17668577002804536,0.16341490921393934
2,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,1271,69289,7795,0.018013038548752833,0.14019413192146482,1709,5865,7357,0.22564034856086612,0.1885065078314582
2,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,918,66095,7845,0.013698834554489427,0.1047586442998973,919,2918,7844,0.2395100338806359,0.10487276047015862
2,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,1796,126852,11662,0.013960574591132393,0.13345222172685392,2363,9176,11095,0.20478377675708467,0.17558329618071036
2,S05_flat_branch_medium_C07__ellipse.zarr,2068,2434,140690,11627,0.01700623235795534,0.17310290875471163,2746,6981,11315,0.28230698056954867,0.19529194225161794
2,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,1040,125343,11599,0.008228954843610296,0.08228499090117888,1041,2799,11598,0.27109375,0.08236411108473772
2,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,1363,97634,10972,0.013768093982645939,0.11049858127280097,1982,8757,10353,0.1845609460843654,0.16068098905553305
2,S06_3d_branch_medium_C07__ellipse.zarr,1676,2061,99288,10621,0.020335671787585472,0.16251379908531777,2579,8696,10103,0.2287361419068736,0.2033590916259265
2,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,1248,96990,11014,0.012703841690588163,0.10177785026912413,1278,4203,10984,0.23316912972085385,0.10422443320828575
2,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,2132,155573,17665,0.013518911892457436,0.10769308481082993,2758,12491,17039,0.18086431897173585,0.13931403748042634
2,S07_flat_loop_rich_C07__ellipse.zarr,2678,2859,170751,17621,0.01646794539485053,0.139599609375,3226,11348,17254,0.22135309455194183,0.15751953125
2,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,1318,155899,17453,0.008383317325734494,0.07021469287731075,1335,5068,17436,0.20849601749180072,0.07112034521336104
2,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,2631,214545,17398,0.012114598298154491,0.13135952868340905,3446,12862,16583,0.2113073338238901,0.17205052673623247
2,S08_3d_loop_rich_C07__ellipse.zarr,3458,3699,226367,16669,0.01607799501012753,0.1816084053417125,4126,6093,16242,0.40375770623348667,0.20257266300078555
2,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,1678,210069,17416,0.007924551469442306,0.08788100974127998,1683,2932,17411,0.3646803900325027,0.08814287210642087
