stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,PRIMITIVE,0,0,0,12,29,0.0,0.0,0.0
fit,PRIMITIVE,100,0,4,12,25,0.0,0.0,0.0
fit,PRIMITIVE,200,1,11,11,26,0.08333333333333333,0.08333333333333333,0.08333333333333333
fit,PRIMITIVE,300,1,9,11,13,0.1,0.08333333333333333,0.09090909090909091
fit,PRIMITIVE,400,1,7,11,6,0.125,0.08333333333333333,0.1
fit,PRIMITIVE,500,1,6,11,16,0.14285714285714285,0.08333333333333333,0.10526315789473684
fit,PRIMITIVE,600,1,6,11,15,0.14285714285714285,0.08333333333333333,0.10526315789473684
fit,PRIMITIVE,700,1,3,11,9,0.25,0.08333333333333333,0.125
fit,PRIMITIVE,800,0,4,12,13,0.0,0.0,0.0
fit,PRIMITIVE,900,1,5,11,9,0.16666666666666666,0.08333333333333333,0.1111111111111111
fit,PRIMITIVE,1000,1,7,11,4,0.125,0.08333333333333333,0.1
