stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,PRIMITIVE,0,0,29,12,0,0.0,0.0,0.0
fit,PRIMITIVE,100,0,24,12,30,0.0,0.0,0.0
fit,PRIMITIVE,200,0,23,12,5,0.0,0.0,0.0
fit,PRIMITIVE,300,2,16,10,2,0.1111111111111111,0.16666666666666666,0.13333333333333333
fit,PRIMITIVE,400,3,15,9,7,0.16666666666666666,0.25,0.2
fit,PRIMITIVE,500,9,6,3,2,0.6,0.75,0.6666666666666666
fit,PRIMITIVE,600,11,2,1,4,0.8461538461538461,0.9166666666666666,0.88
fit,PRIMITIVE,700,7,6,5,4,0.5384615384615384,0.5833333333333334,0.56
fit,PRIMITIVE,800,7,8,5,4,0.4666666666666667,0.5833333333333334,0.5185185185185185
fit,PRIMITIVE,900,3,12,9,4,0.2,0.25,0.2222222222222222
fit,PRIMITIVE,1000,8,9,4,3,0.47058823529411764,0.6666666666666666,0.5517241379310345
