stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,PRIMITIVE,0,0,29,12,0,0.0,0.0,0.0
fit,PRIMITIVE,100,0,17,12,13,0.0,0.0,0.0
fit,PRIMITIVE,200,2,9,10,2,0.18181818181818182,0.16666666666666666,0.17391304347826086
fit,PRIMITIVE,300,10,2,2,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
fit,PRIMITIVE,400,9,4,3,3,0.6923076923076923,0.75,0.72
fit,PRIMITIVE,500,10,2,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
fit,PRIMITIVE,600,12,0,0,2,1.0,1.0,1.0
fit,PRIMITIVE,700,12,0,0,3,1.0,1.0,1.0
fit,PRIMITIVE,800,0,26,12,19,0.0,0.0,0.0
fit,PRIMITIVE,900,3,24,9,25,0.1111111111111111,0.25,0.15384615384615385
fit,PRIMITIVE,1000,8,5,4,6,0.6153846153846154,0.6666666666666666,0.64
