stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,SPATIAL,0,0,14,12,0,0.0,0.0,0.0
fit,SPATIAL,100,3,29,9,20,0.09375,0.25,0.13636363636363635
fit,SPATIAL,200,0,12,12,6,0.0,0.0,0.0
fit,SPATIAL,300,0,38,12,33,0.0,0.0,0.0
fit,SPATIAL,400,1,16,11,14,0.058823529411764705,0.08333333333333333,0.06896551724137931
fit,SPATIAL,500,2,98,10,129,0.02,0.16666666666666666,0.03571428571428571
fit,SPATIAL,600,3,42,9,57,0.06666666666666667,0.25,0.10526315789473684
fit,SPATIAL,700,0,14,12,27,0.0,0.0,0.0
fit,SPATIAL,800,2,30,10,37,0.0625,0.16666666666666666,0.09090909090909091
fit,SPATIAL,900,0,29,12,30,0.0,0.0,0.0
fit,SPATIAL,1000,0,41,12,53,0.0,0.0,0.0
