method,step,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
old_l2_1e-02,reused,old,before,3,11,9,19,33,0.21428571428571427,0.25,0.23076923076923078
old_l2_1e-02,reused,old,after,3,10,9,18,31,0.23076923076923078,0.25,0.24
old_l2_1e-02,reused,fixed,before,3,15,9,15,33,0.16666666666666666,0.25,0.2
old_l2_1e-02,reused,fixed,after,3,14,9,14,31,0.17647058823529413,0.25,0.20689655172413793
old_l2_1e-04,reused,old,before,11,34,1,27,72,0.24444444444444444,0.9166666666666666,0.38596491228070173
old_l2_1e-04,reused,old,after,11,34,1,26,71,0.24444444444444444,0.9166666666666666,0.38596491228070173
old_l2_1e-04,reused,fixed,before,11,44,1,17,72,0.2,0.9166666666666666,0.3283582089552239
old_l2_1e-04,reused,fixed,after,11,44,1,16,71,0.2,0.9166666666666666,0.3283582089552239
old_l2_1e-06,reused,old,before,12,17,0,16,45,0.41379310344827586,1.0,0.5853658536585366
old_l2_1e-06,reused,old,after,12,17,0,14,43,0.41379310344827586,1.0,0.5853658536585366
old_l2_1e-06,reused,fixed,before,12,19,0,14,45,0.3870967741935484,1.0,0.5581395348837209
old_l2_1e-06,reused,fixed,after,12,19,0,12,43,0.3870967741935484,1.0,0.5581395348837209
candidate_center_verifier_v1,0,old,before,0,0,12,0,0,0.0,0.0,0.0
candidate_center_verifier_v1,0,old,after,0,0,12,0,0,0.0,0.0,0.0
candidate_center_verifier_v1,0,fixed,before,0,0,12,0,0,0.0,0.0,0.0
candidate_center_verifier_v1,0,fixed,after,0,0,12,0,0,0.0,0.0,0.0
candidate_center_verifier_v1,100,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,100,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,100,fixed,before,12,29,0,9,50,0.2926829268292683,1.0,0.4528301886792453
candidate_center_verifier_v1,100,fixed,after,12,29,0,9,50,0.2926829268292683,1.0,0.4528301886792453
candidate_center_verifier_v1,200,old,before,12,35,0,23,70,0.2553191489361702,1.0,0.4067796610169492
candidate_center_verifier_v1,200,old,after,12,35,0,22,69,0.2553191489361702,1.0,0.4067796610169492
candidate_center_verifier_v1,200,fixed,before,12,48,0,10,70,0.2,1.0,0.3333333333333333
candidate_center_verifier_v1,200,fixed,after,12,47,0,10,69,0.2033898305084746,1.0,0.3380281690140845
candidate_center_verifier_v1,300,old,before,12,21,0,11,44,0.36363636363636365,1.0,0.5333333333333333
candidate_center_verifier_v1,300,old,after,12,21,0,11,44,0.36363636363636365,1.0,0.5333333333333333
candidate_center_verifier_v1,300,fixed,before,12,26,0,6,44,0.3157894736842105,1.0,0.48
candidate_center_verifier_v1,300,fixed,after,12,26,0,6,44,0.3157894736842105,1.0,0.48
candidate_center_verifier_v1,400,old,before,12,27,0,15,54,0.3076923076923077,1.0,0.47058823529411764
candidate_center_verifier_v1,400,old,after,12,27,0,15,54,0.3076923076923077,1.0,0.47058823529411764
candidate_center_verifier_v1,400,fixed,before,12,35,0,7,54,0.2553191489361702,1.0,0.4067796610169492
candidate_center_verifier_v1,400,fixed,after,12,35,0,7,54,0.2553191489361702,1.0,0.4067796610169492
candidate_center_verifier_v1,500,old,before,12,23,0,15,50,0.34285714285714286,1.0,0.5106382978723404
candidate_center_verifier_v1,500,old,after,12,23,0,15,50,0.34285714285714286,1.0,0.5106382978723404
candidate_center_verifier_v1,500,fixed,before,12,30,0,8,50,0.2857142857142857,1.0,0.4444444444444444
candidate_center_verifier_v1,500,fixed,after,12,30,0,8,50,0.2857142857142857,1.0,0.4444444444444444
candidate_center_verifier_v1,600,old,before,12,24,0,15,51,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,600,old,after,12,24,0,15,51,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,600,fixed,before,12,31,0,8,51,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,600,fixed,after,12,31,0,8,51,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,700,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,700,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,700,fixed,before,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,700,fixed,after,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,800,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,800,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,800,fixed,before,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,800,fixed,after,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,900,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,900,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,900,fixed,before,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,900,fixed,after,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
candidate_center_verifier_v1,1000,old,before,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,1000,old,after,12,24,0,14,50,0.3333333333333333,1.0,0.5
candidate_center_verifier_v1,1000,fixed,before,12,31,0,7,50,0.27906976744186046,1.0,0.43636363636363634
