stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,PRIMITIVE,0,12,153,0,347,0.07272727272727272,1.0,0.13559322033898305
fit,PRIMITIVE,100,1,3,11,4,0.25,0.08333333333333333,0.125
fit,PRIMITIVE,200,2,5,10,9,0.2857142857142857,0.16666666666666666,0.21052631578947367
fit,PRIMITIVE,300,3,8,9,11,0.2727272727272727,0.25,0.2608695652173913
fit,PRIMITIVE,400,3,14,9,19,0.17647058823529413,0.25,0.20689655172413793
fit,PRIMITIVE,500,3,18,9,22,0.14285714285714285,0.25,0.18181818181818182
fit,PRIMITIVE,600,5,19,7,23,0.20833333333333334,0.4166666666666667,0.2777777777777778
fit,PRIMITIVE,700,5,19,7,24,0.20833333333333334,0.4166666666666667,0.2777777777777778
fit,PRIMITIVE,800,5,19,7,24,0.20833333333333334,0.4166666666666667,0.2777777777777778
fit,PRIMITIVE,900,5,23,7,26,0.17857142857142858,0.4166666666666667,0.25
fit,PRIMITIVE,1000,5,25,7,28,0.16666666666666666,0.4166666666666667,0.23809523809523808
