stage,method,updates,tp,fp,fn,ignored,precision,recall,f1
fit,PRIMITIVE,0,0,29,12,0,0.0,0.0,0.0
fit,PRIMITIVE,100,1,15,11,16,0.0625,0.08333333333333333,0.07142857142857142
fit,PRIMITIVE,200,2,58,10,74,0.03333333333333333,0.16666666666666666,0.05555555555555555
fit,PRIMITIVE,300,3,30,9,46,0.09090909090909091,0.25,0.13333333333333333
fit,PRIMITIVE,400,1,58,11,71,0.01694915254237288,0.08333333333333333,0.028169014084507043
fit,PRIMITIVE,500,2,110,10,145,0.017857142857142856,0.16666666666666666,0.03225806451612903
fit,PRIMITIVE,600,1,54,11,38,0.01818181818181818,0.08333333333333333,0.029850746268656716
fit,PRIMITIVE,700,1,5,11,47,0.16666666666666666,0.08333333333333333,0.1111111111111111
fit,PRIMITIVE,800,4,45,8,124,0.08163265306122448,0.3333333333333333,0.13114754098360656
fit,PRIMITIVE,900,8,69,4,150,0.1038961038961039,0.6666666666666666,0.1797752808988764
fit,PRIMITIVE,1000,6,49,6,119,0.10909090909090909,0.5,0.1791044776119403
