epoch=1789314354042994136:1 past=0 candidates=0
epoch=1789314354042994136:2 past=1 candidates=1
epoch=1789314354042994136:3 past=2 candidates=2
epoch=1789314354042994136:4 past=3 candidates=3
epoch=1789314354042994136:5 past=4 candidates=4
epoch=1789314354042994136:6 past=5 candidates=5
epoch=1789314354042994136:7 past=6 candidates=5
epoch=1789314354042994136:8 past=7 candidates=5
epoch=1789314354042994136:9 past=8 candidates=5
epoch=1789314354042994136:10 past=9 candidates=5
epoch=1789314354042994136:11 past=10 candidates=5
epoch=1789314354042994136:12 past=11 candidates=5
epoch=1789314354042994136:13 past=12 candidates=5
epoch=1789314354042994136:14 past=13 candidates=5
epoch=1789314354042994136:15 past=14 candidates=5
epoch=1789314354042994136:16 past=15 candidates=5
epoch=1789314354042994136:17 past=16 candidates=5
epoch=1789314354042994136:18 past=17 candidates=5
epoch=1789314354042994136:19 past=18 candidates=5
epoch=1789314354042994136:20 past=19 candidates=5
epoch=1789314354042994136:21 past=20 candidates=5
epoch=1789314354042994136:22 past=21 candidates=5
epoch=1789314354042994136:23 past=22 candidates=5
epoch=1789314354042994136:24 past=23 candidates=5
epoch=1789314354042994136:25 past=24 candidates=5
epoch=1789314354042994136:26 past=25 candidates=5
epoch=1789314354042994136:27 past=26 candidates=5
epoch=1789314354042994136:28 past=27 candidates=5
epoch=1789314354042994136:29 past=28 candidates=5
epoch=1789314354042994136:30 past=29 candidates=5
epoch=1789314354042994136:31 past=30 candidates=5
epoch=1789314354042994136:32 past=31 candidates=5
epoch=1789314354042994136:33 past=32 candidates=5
epoch=1789314354042994136:34 past=33 candidates=5
epoch=1789314354042994136:35 past=34 candidates=5
epoch=1789314354042994136:36 past=35 candidates=5
epoch=1789314354042994136:37 past=36 candidates=5
epoch=1789314354042994136:38 past=37 candidates=5
epoch=1789314354042994136:39 past=38 candidates=5
epoch=1789314354042994136:40 past=39 candidates=5
epoch=1789314354042994136:41 past=40 candidates=5
epoch=1789314354042994136:42 past=41 candidates=5
epoch=1789314354042994136:43 past=42 candidates=5
epoch=1789314354042994136:44 past=43 candidates=5
epoch=1789314354042994136:45 past=44 candidates=5
epoch=1789314354042994136:46 past=45 candidates=5
epoch=1789314354042994136:47 past=46 candidates=5
epoch=1789314354042994136:48 past=47 candidates=5
epoch=1789314354042994136:49 past=48 candidates=5
epoch=1789314354042994136:50 past=49 candidates=5
epoch=1789314354042994136:51 past=50 candidates=5
epoch=1789314354042994136:52 past=51 candidates=5
epoch=1789314354042994136:53 past=52 candidates=5
epoch=1789314354042994136:54 past=53 candidates=5
epoch=1789314354042994136:55 past=54 candidates=5
epoch=1789314354042994136:56 past=55 candidates=5
epoch=1789314354042994136:57 past=56 candidates=5
epoch=1789314354042994136:58 past=57 candidates=5
epoch=1789314354042994136:59 past=58 candidates=5
epoch=1789314354042994136:60 past=59 candidates=5
epoch=1789314354042994136:61 past=60 candidates=5
epoch=1789314354042994136:62 past=61 candidates=5
epoch=1789314354042994136:63 past=62 candidates=5
epoch=1789314354042994136:64 past=63 candidates=5
epoch=1789314354042994136:65 past=64 candidates=5
epoch=1789314354042994136:66 past=65 candidates=5
epoch=1789314354042994136:67 past=66 candidates=5
epoch=1789314354042994136:68 past=67 candidates=5
epoch=1789314354042994136:69 past=68 candidates=5
epoch=1789314354042994136:70 past=69 candidates=5
epoch=1789314354042994136:71 past=70 candidates=5
epoch=1789314354042994136:72 past=71 candidates=5
epoch=1789314354042994136:73 past=72 candidates=5
epoch=1789314354042994136:74 past=73 candidates=5
epoch=1789314354042994136:75 past=74 candidates=5
epoch=1789314354042994136:76 past=75 candidates=5
epoch=1789314354042994136:77 past=76 candidates=5
epoch=1789314354042994136:78 past=77 candidates=5
epoch=1789314354042994136:79 past=78 candidates=5
epoch=1789314354042994136:80 past=79 candidates=5
epoch=1789314354042994136:81 past=80 candidates=5
epoch=1789314354042994136:82 past=81 candidates=5
epoch=1789314354042994136:83 past=82 candidates=5
epoch=1789314354042994136:84 past=83 candidates=5
epoch=1789314354042994136:85 past=84 candidates=5
epoch=1789314354042994136:86 past=85 candidates=5
epoch=1789314354042994136:87 past=86 candidates=5
epoch=1789314354042994136:88 past=87 candidates=5
epoch=1789314354042994136:89 past=88 candidates=5
epoch=1789314354042994136:90 past=89 candidates=5
epoch=1789314354042994136:91 past=90 candidates=5
epoch=1789314354042994136:92 past=91 candidates=5
epoch=1789314354042994136:93 past=92 candidates=5
epoch=1789314354042994136:94 past=93 candidates=5
epoch=1789314354042994136:95 past=94 candidates=5
epoch=1789314354042994136:96 past=95 candidates=5
epoch=1789314354042994136:97 past=96 candidates=5
epoch=1789314354042994136:98 past=97 candidates=5
epoch=1789314354042994136:99 past=98 candidates=5
epoch=1789314354042994136:100 past=99 candidates=5
epoch=1789314354042994136:101 past=100 candidates=5
epoch=1789314354042994136:102 past=101 candidates=5
epoch=1789314354042994136:103 past=102 candidates=5
epoch=1789314354042994136:104 past=103 candidates=5
epoch=1789314354042994136:105 past=104 candidates=5
epoch=1789314354042994136:106 past=105 candidates=5
epoch=1789314354042994136:107 past=106 candidates=5
epoch=1789314354042994136:108 past=107 candidates=5
epoch=1789314354042994136:109 past=108 candidates=5
epoch=1789314354042994136:110 past=109 candidates=5
epoch=1789314354042994136:111 past=110 candidates=5
epoch=1789314354042994136:112 past=111 candidates=5
epoch=1789314354042994136:113 past=112 candidates=5
epoch=1789314354042994136:114 past=113 candidates=5
epoch=1789314354042994136:115 past=114 candidates=5
